Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Iacri;2019;10;1.59;5;1.59;19;3.02;1;0.16;6;0.95;;;13;2.07;;;3519204
Iaras;2019;9;1.32;1;0.29;1;0.15;;;;;;;8;1.17;;;3519253
Ibaté;2019;107;3.12;24;1.4;39;1.14;6;0.17;9;0.26;;;156;4.54;2;0.12;3519303
Ibirá;2019;39;3.26;26;4.35;24;2.01;1;0.08;15;1.26;;;29;2.43;4;0.67;3519402
Ibirarema;2019;12;1.62;8;2.15;9;1.21;1;0.13;;;;;34;4.58;1;0.27;3519501
Ibitinga;2019;76;1.31;102;3.52;67;1.16;7;0.12;112;1.93;;;159;2.74;6;0.21;3519600
Ibiúna;2019;213;2.81;67;1.77;74;0.97;4;0.05;34;0.45;;;216;2.85;6;0.16;3519709
Icém;2019;11;1.38;12;3.01;11;1.38;2;0.25;5;0.63;;;34;4.26;2;0.5;3519808
Iepê;2019;39;4.94;10;2.53;17;2.15;2;0.25;4;0.51;;;6;0.76;;;3519907
Igarapava;2019;27;0.92;63;4.3;42;1.43;4;0.14;30;1.02;;;110;3.75;5;0.34;3520103
Igaratá;2019;39;4.21;7;1.51;9;0.97;;;4;0.43;;;18;1.94;1;0.22;3520202
Igaraçu do Tietê;2019;35;1.45;24;2;18;0.75;2;0.08;4;0.17;;;159;6.61;2;0.17;3520004
Iguape;2019;142;4.83;23;1.57;70;2.38;6;0.2;27;0.92;;;123;4.19;2;0.14;3520301
Ilha Comprida;2019;31;3.05;14;2.76;24;2.36;;;8;0.79;;;49;4.82;1;0.2;3520426
Ilha Solteira;2019;70;2.72;56;4.36;66;2.57;6;0.23;64;2.49;;;184;7.16;2;0.16;3520442
Ilhabela;2019;161;4.88;47;2.85;75;2.27;6;0.18;80;2.43;;;145;4.4;4;0.24;3520400
Indaiatuba;2019;483;2.02;465;3.88;487;2.03;84;0.35;518;2.16;;;892;3.73;37;0.31;3520509
Indiana;2019;38;7.95;8;3.35;13;2.72;1;0.21;1;0.21;;;9;1.88;;;3520608
Indiaporã;2019;9;2.33;8;4.15;12;3.11;2;0.52;6;1.56;;;22;5.7;;;3520707
Inúbia Paulista;2019;19;4.91;3;1.55;6;1.55;;;;;;;1;0.26;;;3520806
Ipaussu;2019;53;3.68;28;3.88;27;1.87;;;9;0.62;;;53;3.68;;;3520905
Iperó;2019;60;1.78;14;0.83;20;0.59;;;6;0.18;;;77;2.28;;;3521002
Ipeúna;2019;10;1.35;7;1.89;8;1.08;;;3;0.41;;;21;2.84;;;3521101
Ipiguá;2019;13;2.52;3;1.16;7;1.36;;;3;0.58;;;22;4.27;;;3521150
Iporanga;2019;21;4.78;4;1.82;13;2.96;;;;;;;11;2.5;;;3521200
Ipuã;2019;28;1.78;23;2.93;27;1.72;3;0.19;13;0.83;;;40;2.55;1;0.13;3521309
Iracemápolis;2019;60;2.57;23;1.97;51;2.19;5;0.21;11;0.47;;;103;4.42;;;3521408
Irapuã;2019;16;2.08;14;3.64;6;0.78;2;0.26;4;0.52;;;18;2.34;;;3521507
Irapuru;2019;36;4.88;12;3.25;11;1.49;;;6;0.81;;;1;0.14;;;3521606
Itaberá;2019;29;1.65;19;2.16;39;2.21;2;0.11;7;0.4;;;47;2.67;;;3521705
Itaí;2019;43;1.64;22;1.68;30;1.14;2;0.08;17;0.65;;;53;2.02;1;0.08;3521804
Itajobi;2019;60;4.11;46;6.29;66;4.52;4;0.27;34;2.33;;;36;2.46;3;0.41;3521903
Itaju;2019;8;2.21;4;2.21;7;1.94;;;;;;;15;4.15;;;3522000
Itanhaém;2019;329;3.37;103;2.11;173;1.77;10;0.1;83;0.85;;;380;3.89;8;0.16;3522109
Itaoca;2019;5;1.57;;;7;2.2;;;;;;;5;1.57;;;3522158
Itapecerica da Serra;2019;973;5.79;139;1.66;392;2.33;16;0.1;53;0.32;;;687;4.09;12;0.14;3522208
Itapetininga;2019;357;2.25;248;3.13;276;1.74;28;0.18;245;1.55;;;917;5.78;19;0.24;3522307
Itapeva;2019;304;3.33;112;2.45;266;2.91;16;0.18;167;1.83;;;427;4.68;10;0.22;3522406
Itapevi;2019;555;2.37;123;1.05;329;1.41;11;0.05;48;0.21;;;1626;6.95;9;0.08;3522505
Itapira;2019;310;4.35;129;3.62;195;2.74;8;0.11;177;2.48;;;486;6.82;10;0.28;3522604
Itapirapuã Paulista;2019;6;1.45;2;0.97;4;0.97;;;;;;;12;2.9;;;3522653
Itápolis;2019;28;0.68;54;2.61;66;1.59;9;0.22;64;1.55;;;174;4.2;3;0.14;3522703
Itaporanga;2019;11;0.75;22;3;24;1.64;2;0.14;12;0.82;;;27;1.84;;;3522802
Itapuí;2019;19;1.39;12;1.76;23;1.69;2;0.15;4;0.29;;;73;5.36;1;0.15;3522901
Itapura;2019;13;2.67;1;0.41;2;0.41;;;;;;;13;2.67;;;3523008
Itaquaquecetuba;2019;3003;8.22;148;0.81;498;1.36;6;0.02;22;0.06;;;1249;3.42;19;0.1;3523107
Itararé;2019;83;1.7;53;2.17;46;0.94;7;0.14;45;0.92;;;98;2;13;0.53;3523206
Itariri;2019;27;1.58;4;0.47;15;0.88;1;0.06;4;0.23;;;17;0.99;2;0.23;3523305
Itatiba;2019;163;1.4;200;3.44;180;1.55;33;0.28;225;1.93;;;460;3.95;11;0.19;3523404
Itatinga;2019;32;1.58;11;1.08;21;1.03;1;0.05;7;0.34;;;106;5.22;1;0.1;3523503
Itirapina;2019;28;1.65;12;1.41;17;1;;;5;0.29;;;47;2.76;;;3523602
Itirapuã;2019;20;3.2;6;1.92;4;0.64;7;1.12;2;0.32;;;36;5.77;;;3523701
Itobi;2019;31;4.08;3;0.79;18;2.37;1;0.13;2;0.26;;;45;5.92;1;0.26;3523800
Itu;2019;519;3.08;286;3.4;244;1.45;50;0.3;359;2.13;;;508;3.02;24;0.29;3523909
Itupeva;2019;125;2.17;46;1.59;95;1.65;7;0.12;35;0.61;;;94;1.63;1;0.03;3524006
Ituverava;2019;51;1.27;91;4.54;103;2.57;13;0.32;134;3.34;;;191;4.76;6;0.3;3524105
Jaborandi;2019;15;2.25;11;3.3;25;3.75;2;0.3;8;1.2;;;67;10.04;;;3524204
Jaboticabal;2019;82;1.11;169;4.57;144;1.95;20;0.27;163;2.2;;;324;4.38;12;0.32;3524303
