"Localidades";"Períodos";"Leitos de Internação ";"Leitos de Internação (Coeficiente por mil habitantes)";"Leitos SUS ";"Leitos SUS (Coeficiente por mil habitantes)";"Cód. IBGE"
"Gavião Peixoto";"2019";"-";"-";"-";"-";3516853
"General Salgado";"2019";"32";"3";"20";"1,88";3516903
"Getulina";"2019";"48";"4,43";"36";"3,32";3517000
"Glicério";"2019";"-";"-";"-";"-";3517109
"Guaimbê";"2019";"-";"-";"-";"-";3517307
"Guaíra";"2019";"60";"1,54";"42";"1,08";3517406
"Guaiçara";"2019";"-";"-";"-";"-";3517208
"Guapiara";"2019";"27";"1,52";"27";"1,52";3517604
"Guapiaçu";"2019";"-";"-";"-";"-";3517505
"Guará";"2019";"50";"2,41";"40";"1,93";3517703
"Guaraci";"2019";"-";"-";"-";"-";3517901
"Guarani d'Oeste";"2019";"-";"-";"-";"-";3518008
"Guarantã";"2019";"-";"-";"-";"-";3518107
"Guararapes";"2019";"74";"2,32";"48";"1,5";3518206
"Guararema";"2019";"35";"1,2";"29";"1";3518305
"Guaratinguetá";"2019";"265";"2,25";"156";"1,32";3518404
"Guaraçaí";"2019";"23";"2,73";"15";"1,78";3517802
"Guareí";"2019";"-";"-";"-";"-";3518503
"Guariba";"2019";"66";"1,71";"59";"1,53";3518602
"Guarujá";"2019";"336";"1,07";"225";"0,72";3518701
"Guarulhos";"2019";"1987";"1,48";"1444";"1,08";3518800
"Guatapará";"2019";"-";"-";"-";"-";3518859
"Guzolândia";"2019";"-";"-";"-";"-";3518909
"Herculândia";"2019";"58";"6,3";"58";"6,3";3519006
"Holambra";"2019";"-";"-";"-";"-";3519055
"Hortolândia";"2019";"100";"0,44";"78";"0,34";3519071
"Iacanga";"2019";"30";"2,68";"28";"2,5";3519105
"Iacri";"2019";"-";"-";"-";"-";3519204
"Iaras";"2019";"-";"-";"-";"-";3519253
"Ibaté";"2019";"27";"0,79";"27";"0,79";3519303
"Ibirá";"2019";"27";"2,26";"9";"0,75";3519402
"Ibirarema";"2019";"-";"-";"-";"-";3519501
"Ibitinga";"2019";"103";"1,78";"46";"0,79";3519600
"Ibiúna";"2019";"172";"2,27";"63";"0,83";3519709
"Icém";"2019";"-";"-";"-";"-";3519808
"Iepê";"2019";"18";"2,28";"18";"2,28";3519907
"Igarapava";"2019";"60";"2,05";"42";"1,43";3520103
"Igaratá";"2019";"8";"0,86";"8";"0,86";3520202
"Igaraçu do Tietê";"2019";"-";"-";"-";"-";3520004
"Iguape";"2019";"9";"0,31";"9";"0,31";3520301
"Ilha Comprida";"2019";"-";"-";"-";"-";3520426
"Ilha Solteira";"2019";"116";"4,51";"74";"2,88";3520442
"Ilhabela";"2019";"51";"1,55";"51";"1,55";3520400
"Indaiatuba";"2019";"350";"1,46";"207";"0,86";3520509
"Indiana";"2019";"-";"-";"-";"-";3520608
"Indiaporã";"2019";"36";"9,33";"4";"1,04";3520707
"Inúbia Paulista";"2019";"-";"-";"-";"-";3520806
"Ipaussu";"2019";"49";"3,4";"29";"2,01";3520905
"Iperó";"2019";"15";"0,44";"15";"0,44";3521002
"Ipeúna";"2019";"-";"-";"-";"-";3521101
"Ipiguá";"2019";"-";"-";"-";"-";3521150
"Iporanga";"2019";"-";"-";"-";"-";3521200
"Ipuã";"2019";"49";"3,12";"39";"2,49";3521309
"Iracemápolis";"2019";"3";"0,13";"3";"0,13";3521408
"Irapuã";"2019";"-";"-";"-";"-";3521507
"Irapuru";"2019";"-";"-";"-";"-";3521606
"Itaberá";"2019";"19";"1,08";"19";"1,08";3521705
"Itaí";"2019";"35";"1,33";"35";"1,33";3521804
"Itajobi";"2019";"50";"3,42";"32";"2,19";3521903
"Itaju";"2019";"-";"-";"-";"-";3522000
"Itanhaém";"2019";"131";"1,34";"131";"1,34";3522109
"Itaoca";"2019";"-";"-";"-";"-";3522158
"Itapecerica da Serra";"2019";"583";"3,47";"176";"1,05";3522208
"Itapetininga";"2019";"142";"0,9";"100";"0,63";3522307
"Itapeva";"2019";"134";"1,47";"93";"1,02";3522406
"Itapevi";"2019";"307";"1,31";"213";"0,91";3522505
"Itapira";"2019";"988";"13,86";"576";"8,08";3522604
"Itapirapuã Paulista";"2019";"-";"-";"-";"-";3522653
"Itápolis";"2019";"76";"1,84";"46";"1,11";3522703
"Itaporanga";"2019";"46";"3,14";"27";"1,84";3522802
"Itapuí";"2019";"30";"2,2";"30";"2,2";3522901
"Itapura";"2019";"-";"-";"-";"-";3523008
"Itaquaquecetuba";"2019";"224";"0,61";"224";"0,61";3523107
"Itararé";"2019";"80";"1,64";"64";"1,31";3523206
"Itariri";"2019";"-";"-";"-";"-";3523305
"Itatiba";"2019";"119";"1,02";"69";"0,59";3523404
"Itatinga";"2019";"14";"0,69";"7";"0,34";3523503
"Itirapina";"2019";"25";"1,47";"25";"1,47";3523602
"Itirapuã";"2019";"-";"-";"-";"-";3523701
"Itobi";"2019";"-";"-";"-";"-";3523800
"Itu";"2019";"389";"2,31";"357";"2,12";3523909
"Itupeva";"2019";"86";"1,49";"48";"0,83";3524006
"Ituverava";"2019";"120";"2,99";"53";"1,32";3524105
"Jaborandi";"2019";"17";"2,55";"17";"2,55";3524204
"Jaboticabal";"2019";"212";"2,87";"56";"0,76";3524303
"Jacareí";"2019";"404";"1,78";"167";"0,74";3524402
"Jaci";"2019";"216";"31,58";"149";"21,79";3524501
"Jacupiranga";"2019";"-";"-";"-";"-";3524600
"Jaguariúna";"2019";"80";"1,48";"78";"1,45";3524709
"Jales";"2019";"151";"3,2";"103";"2,18";3524808
"Jambeiro";"2019";"-";"-";"-";"-";3524907
"Jandira";"2019";"15";"0,12";"-";"-";3525003
"Jardinópolis";"2019";"-";"-";"-";"-";3525102
"Jarinu";"2019";"29";"0,99";"17";"0,58";3525201
"Jaú";"2019";"895";"6,13";"711";"4,87";3525300
"Jeriquara";"2019";"-";"-";"-";"-";3525409
"Joanópolis";"2019";"11";"0,87";"11";"0,87";3525508
"João Ramalho";"2019";"-";"-";"-";"-";3525607
"José Bonifácio";"2019";"53";"1,49";"22";"0,62";3525706
"Júlio Mesquita";"2019";"-";"-";"-";"-";3525805
"Jumirim";"2019";"-";"-";"-";"-";3525854
"Jundiaí";"2019";"824";"2,04";"439";"1,09";3525904
"Junqueirópolis";"2019";"52";"2,61";"25";"1,25";3526001
"Juquiá";"2019";"-";"-";"-";"-";3526100
"Juquitiba";"2019";"59";"1,95";"-";"-";3526209
"Lagoinha";"2019";"-";"-";"-";"-";3526308
"Laranjal Paulista";"2019";"46";"1,67";"28";"1,02";3526407
