;nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude;semana_epidem
275577;Echaporã;3514700;27;4;2021-04-27;348;2;5,597555e+03;   0,5714286;14;0;2,251890e+02;  0,0000000;0,0402298851;RA de Marília;8;Marília;5;6217;1188;51526;<600;4.0;-22,4326;-50,2038;17
275578;Eldorado;3514809;27;4;2021-04-27;1030;1;6,760305e+03;   3,5714286;15;0;9,845104e+01;  0,0000000;0,0145631068;RA de Registro;16;Registro;9;15236;2195;165426;<1200;3.0;-24,5281;-48,1141;17
275579;Elias Fausto;3514908;27;4;2021-04-27;984;1;5,672778e+03;   1,2857143;24;0;1,383604e+02;  0,0000000;0,0243902439;RA de Campinas;4;Piracicaba;11;17346;2361;20236;<1200;3.0;-23,0428;-47,3682;17
275580;Elisiário;3514924;27;4;2021-04-27;316;2;9,031152e+03;   0,8571429;4;0;1,143184e+02;  0,0000000;0,0126582278;RA de São José do Rio Preto;14;São José do Rio Preto;15;3499;590;9398;<600;4.0;-21,1678;-49,1146;17
275581;Embaúba;3514957;27;4;2021-04-27;83;0;3,445413e+03;   0,2857143;4;0;1,660440e+02;  0,0000000;0,0481927711;RA de Barretos;2;São José do Rio Preto;15;2409;461;8313;<150;6.0;-20,9796;-48,8325;17
275582;Embu das Artes;3515004;27;4;2021-04-27;7770;64;2,869382e+03;  26,7142857;320;3;1,181728e+02;  1,4285714;0,0411840412;RM de São Paulo;10;Grande São Paulo;10;270790;29639;704;>5000;1.0;-23,6437;-46,8579;17
275583;Embu-Guaçu;3515103;27;4;2021-04-27;3684;22;5,413428e+03;  18,5714286;125;3;1,836804e+02;  1,1428571;0,0339305103;RM de São Paulo;10;Grande São Paulo;10;68053;9074;15564;<5000;2.0;-23,8297;-46,8136;17
275584;Emilianópolis;3515129;27;4;2021-04-27;213;0;6,942634e+03;   1,7142857;3;0;9,778357e+01;  0,0000000;0,0140845070;RA de Presidente Prudente;9;Presidente Prudente;2;3068;625;22517;<300;5.0;-21,8314;-51,4832;17
275585;Engenheiro Coelho;3515152;27;4;2021-04-27;1932;15;9,408327e+03;   3,1428571;36;1;1,753104e+02;  0,2857143;0,0186335404;RA de Campinas;4;Piracicaba;11;20535;1870;10994;<5000;2.0;-22,4836;-47,2110;17
275586;Espírito Santo do Pinhal;3515186;27;4;2021-04-27;3479;18;8,171846e+03;  10,8571429;77;1;1,808658e+02;  0,8571429;0,0221327968;RA de Campinas;4;São João da Boa Vista;14;42573;7818;38924;<5000;2.0;-22,1909;-46,7477;17
275587;Espírito Santo do Turvo;3515194;27;4;2021-04-27;206;4;4,292561e+03;   0,7142857;3;0;6,251302e+01;  0,0000000;0,0145631068;RA de Marília;8;Marília;5;4799;626;19367;<300;5.0;-22,6925;-49,4341;17
275588;Estrela d'Oeste;3515202;27;4;2021-04-27;971;18;1,199654e+04;   3,8571429;21;0;2,594514e+02;  0,0000000;0,0216271885;RA de São José do Rio Preto;14;São José do Rio Preto;15;8094;1685;29628;<1200;3.0;-20,2875;-50,4049;17
275589;Estrela do Norte;3515301;27;4;2021-04-27;229;4;8,592871e+03;   1,2857143;3;0;1,125704e+02;  0,0000000;0,0131004367;RA de Presidente Prudente;9;Presidente Prudente;2;2665;415;26499;<300;5.0;-22,4859;-51,6632;17
275590;Euclides da Cunha Paulista;3515350;27;4;2021-04-27;257;0;2,694768e+03;   0,0000000;7;0;7,339834e+01;  0,0000000;0,0272373541;RA de Presidente Prudente;9;Presidente Prudente;2;9537;1433;57389;<300;5.0;-22,5545;-52,5928;17
275591;Fartura;3515400;27;4;2021-04-27;1007;31;6,436973e+03;  14,2857143;21;0;1,342368e+02;  0,1428571;0,0208540218;RA de Itapeva;7;Bauru;12;15644;2921;42917;<1200;3.0;-23,3916;-49,5124;17
275592;Fernandópolis;3515509;27;4;2021-04-27;7527;31;1,138523e+04;   9,2857143;180;1;2,722652e+02;  0,5714286;0,0239139099;RA de São José do Rio Preto;14;São José do Rio Preto;15;66112;13714;5498;>5000;1.0;-20,2806;-50,2471;17
275593;Fernando Prestes;3515608;27;4;2021-04-27;499;3;8,955492e+03;   2,5714286;5;0;8,973439e+01;  0,0000000;0,0100200401;RA Central;5;São José do Rio Preto;15;5572;1219;16999;<600;4.0;-21,2661;-48,6874;17
275594;Fernão;3515657;27;4;2021-04-27;131;3;7,944209e+03;   0,8571429;0;0;0,000000e+00;  0,0000000;0,0000000000;RA de Marília;8;Marília;5;1649;316;1005;<150;6.0;-22,3607;-49,5187;17
275595;Ferraz de Vasconcelos;3515707;27;4;2021-04-27;7491;40;3,880603e+03;  25,5714286;308;1;1,595549e+02;  2,8571429;0,0411160059;RM de São Paulo;10;Grande São Paulo;10;193037;21049;2956;>5000;1.0;-23,5411;-46,3710;17
275596;Flora Rica;3515806;27;4;2021-04-27;109;0;6,859660e+03;   0,0000000;4;0;2,517306e+02;  0,0000000;0,0366972477;RA de Presidente Prudente;9;Presidente Prudente;2;1589;368;22471;<150;6.0;-21,6727;-51,3821;17
275597;Floreal;3515905;27;4;2021-04-27;130;0;4,551821e+03;   0,5714286;3;0;1,050420e+02;  0,0000000;0,0230769231;RA de São José do Rio Preto;14;São José do Rio Preto;15;2856;764;20424;<150;6.0;-20,6752;-50,1513;17
275598;Flórida Paulista;3516002;27;4;2021-04-27;890;7;7,343234e+03;   7,5714286;18;1;1,485149e+02;  0,1428571;0,0202247191;RA de Presidente Prudente;9;Marília;5;12120;2048;52414;<1200;3.0;-21,6127;-51,1724;17
275599;Florínea;3516101;27;4;2021-04-27;126;0;4,661487e+03;   0,0000000;4;0;1,479837e+02;  0,0000000;0,0317460317;RA de Marília;8;Marília;5;2703;560;22589;<150;6.0;-22,8680;-50,6814;17
275600;Franca;3516200;27;4;2021-04-27;20079;103;5,868908e+03;  83,5714286;417;1;1,218853e+02;  0,8571429;0,0207679665;RA de Franca;6;Franca;4;342125;53617;60568;>5000;1.0;-20,5352;-47,4039;17
275601;Francisco Morato;3516309;27;4;2021-04-27;8301;66;4,759666e+03;  24,5714286;309;0;1,771759e+02;  2,1428571;0,0372244308;RM de São Paulo;10;Grande São Paulo;10;174403;18701;49;>5000;1.0;-23,2792;-46,7448;17
275602;Franco da Rocha;3516408;27;4;2021-04-27;8801;32;5,782485e+03;  57,4285714;287;5;1,885664e+02;  3,1428571;0,0326099307;RM de São Paulo;10;Grande São Paulo;10;152201;17090;13278;>5000;1.0;-23,3229;-46,7290;17
275603;Gabriel Monteiro;3516507;27;4;2021-04-27;119;1;4,433681e+03;   0,7142857;4;0;1,490313e+02;  0,0000000;0,0336134454;RA de Araçatuba;1;Araçatuba;7;2684;610;13868;<150;6.0;-21,5294;-50,5573;17
275604;Gália;3516606;27;4;2021-04-27;322;2;4,906293e+03;   1,7142857;8;0;1,218955e+02;  0,0000000;0,0248447205;RA de Marília;8;Marília;5;6563;1438;35591;<600;4.0;-22,2918;-49,5504;17
275605;Garça;3516705;27;4;2021-04-27;2400;7;5,649319e+03;   4,5714286;70;0;1,647718e+02;  0,7142857;0,0291666667;RA de Marília;8;Marília;5;42483;8051;55581;<5000;2.0;-22,2125;-49,6546;17
275606;Gastão Vidigal;3516804;27;4;2021-04-27;134;0;2,810403e+03;   0,1428571;14;0;2,936242e+02;  0,1428571;0,1044776119;RA de Araçatuba;1;São José do Rio Preto;15;4768;731;18057;<150;6.0;-20,7948;-50,1912;17
275607;Gavião Peixoto;3516853;27;4;2021-04-27;830;4;1,800434e+04;   5,4285714;10;1;2,169197e+02;  0,1428571;0,0120481928;RA Central;5;Araraquara;8;4610;622;24377;<1200;3.0;-21,8367;-48,4957;17
275608;General Salgado;3516903;27;4;2021-04-27;790;4;7,419234e+03;   1,5714286;24;0;2,253944e+02;  0,1428571;0,0303797468;RA de Araçatuba;1;São José do Rio Preto;15;10648;2153;49438;<1200;3.0;-20,6485;-50,3640;17
275609;Getulina;3517000;27;4;2021-04-27;744;0;6,859039e+03;   1,7142857;13;0;1,198488e+02;  0,2857143;0,0174731183;RA de Bauru;3;Bauru;12;10847;1805;67676;<1200;3.0;-21,7961;-49,9312;17
275610;Glicério;3517109;27;4;2021-04-27;272;0;5,727522e+03;   0,7142857;13;0;2,737418e+02;  0,0000000;0,0477941176;RA de Araçatuba;1;Araçatuba;7;4749;881;2728;<300;5.0;-21,3812;-50,2123;17
275611;Guaiçara;3517208;27;4;2021-04-27;1061;16;8,880891e+03;   3,2857143;20;1;1,674060e+02;  0,1428571;0,0188501414;RA de Bauru;3;Bauru;12;11947;1725;27715;<1200;3.0;-21,6195;-49,8013;17
275612;Guaimbê;3517307;27;4;2021-04-27;345;3;6,234189e+03;   0,8571429;7;0;1,264908e+02;  0,0000000;0,0202898551;RA de Bauru;3;Marília;5;5534;928;21781;<600;4.0;-21,9091;-49,8986;17
275613;Guaíra;3517406;27;4;2021-04-27;3570;5;9,139551e+03;  13,7142857;116;1;2,969714e+02;  1,7142857;0,0324929972;RA de Barretos;2;Barretos;16;39061;6516;125847;<5000;2.0;-20,3196;-48,3120;17
275614;Guapiaçu;3517505;27;4;2021-04-27;1511;0;7,247698e+03;   2,5714286;47;0;2,254413e+02;  0,0000000;0,0311052283;RA de São José do Rio Preto;14;São José do Rio Preto;15;20848;3357;32513;<5000;2.0;-20,7959;-49,2172;17
275615;Guapiara;3517604;27;4;2021-04-27;1656;1;9,316456e+03;   2,5714286;68;0;3,825598e+02;  0,1428571;0,0410628019;RA de Itapeva;7;Sorocaba;6;17775;2764;40829;<5000;2.0;-24,1892;-48,5295;17
275616;Guará;3517703;27;4;2021-04-27;1348;21;6,473300e+03;   7,1428571;65;0;3,121398e+02;  0,2857143;0,0482195846;RA de Franca;6;Franca;4;20824;3029;36218;<5000;2.0;-20,4302;-47,8236;17
275617;Guaraçaí;3517802;27;4;2021-04-27;578;14;6,871136e+03;   3,2857143;12;0;1,426534e+02;  0,0000000;0,0207612457;RA de Araçatuba;1;Araçatuba;7;8412;1780;5692;<600;4.0;-21,0292;-51,2119;17
275618;Guaraci;3517901;27;4;2021-04-27;667;3;6,075788e+03;   3,0000000;17;0;1,548552e+02;  0,0000000;0,0254872564;RA de Barretos;2;Barretos;16;10978;1661;6415;<1200;3.0;-20,4977;-48,9391;17
275619;Guarani d'Oeste;3518008;27;4;2021-04-27;111;0;5,775234e+03;   0,2857143;4;0;2,081165e+02;  0,0000000;0,0360360360;RA de São José do Rio Preto;14;São José do Rio Preto;15;1922;411;857;<150;6.0;-20,0746;-50,3411;17
275620;Guarantã;3518107;27;4;2021-04-27;226;0;3,489270e+03;   0,2857143;12;0;1,852710e+02;  0,0000000;0,0530973451;RA de Bauru;3;Marília;5;6477;1045;46175;<300;5.0;-21,8942;-49,5914;17
275621;Guararapes;3518206;27;4;2021-04-27;2376;31;7,407407e+03;  12,0000000;64;1;1,995261e+02;  0,7142857;0,0269360269;RA de Araçatuba;1;Araçatuba;7;32076;5806;95564;<5000;2.0;-21,2544;-50,6453;17
275622;Guararema;3518305;27;4;2021-04-27;1255;8;4,264501e+03;   9,8571429;56;0;1,902885e+02;  0,7142857;0,0446215139;RM de São Paulo;10;Grande São Paulo;10;29429;4163;27082;<5000;2.0;-23,4112;-46,0369;17
275623;Guaratinguetá;3518404;27;4;2021-04-27;5667;44;4,788542e+03;  53,8571429;137;1;1,157632e+02;  0,8571429;0,0241750485;RA de São José dos Campos;15;Taubaté;17;118345;20362;75264;>5000;1.0;-22,8075;-45,1938;17
275624;Guareí;3518503;27;4;2021-04-27;2668;0;1,693968e+04;   3,7142857;20;0;1,269841e+02;  0,1428571;0,0074962519;RA de Sorocaba;13;Sorocaba;6;15750;1965;56788;<5000;2.0;-23,3714;-48,1837;17
275625;Guariba;3518602;27;4;2021-04-27;2867;23;7,347326e+03;  25,7142857;63;0;1,614515e+02;  0,1428571;0,0219741890;RA de Ribeirão Preto;11;Ribeirão Preto;1;39021;4860;27029;<5000;2.0;-21,3594;-48,2316;17
275626;Guarujá;3518701;27;4;2021-04-27;15877;68;5,017936e+03;  64,8571429;824;10;2,604257e+02;  4,7142857;0,0518989734;RA de Santos;12;Baixada Santista;13;316405;41402;14479;>5000;1.0;-23,9888;-46,2580;17
275627;Guarulhos;3518800;27;4;2021-04-27;48689;279;3,603190e+03; 252,8571429;3438;54;2,544264e+02; 28,0000000;0,0706114317;RM de São Paulo;10;Grande São Paulo;10;1351275;162662;31868;>5000;1.0;-23,4538;-46,5333;17
275628;Guatapará;3518859;27;4;2021-04-27;259;2;3,481183e+03;   1,1428571;11;0;1,478495e+02;  0,1428571;0,0424710425;RA de Ribeirão Preto;11;Ribeirão Preto;1;7440;1216;41357;<300;5.0;-21,4944;-48,0356;17
275629;Guzolândia;3518909;27;4;2021-04-27;402;2;7,871549e+03;   1,4285714;23;0;4,503622e+02;  0,1428571;0,0572139303;RA de Araçatuba;1;Araçatuba;7;5107;896;25248;<600;4.0;-20,6467;-50,6645;17
275630;Herculândia;3519006;27;4;2021-04-27;579;9;6,252700e+03;   7,2857143;13;0;1,403888e+02;  0,0000000;0,0224525043;RA de Marília;8;Marília;5;9260;1500;36425;<600;4.0;-22,0038;-50,3907;17
275631;Holambra;3519055;27;4;2021-04-27;1344;15;9,273442e+03;   8,1428571;9;0;6,209894e+01;  0,0000000;0,0066964286;RA de Campinas;4;Campinas;3;14493;1881;6558;<5000;2.0;-22,6405;-47,0487;17
275632;Hortolândia;3519071;27;4;2021-04-27;15857;51;6,886324e+03;  78,8571429;475;4;2,062814e+02;  3,7142857;0,0299552248;RA de Campinas;4;Campinas;3;230268;26129;6242;>5000;1.0;-22,8529;-47,2143;17
275633;Iacanga;3519105;27;4;2021-04-27;814;2;7,199717e+03;   3,5714286;17;0;1,503626e+02;  0,2857143;0,0208845209;RA de Bauru;3;Bauru;12;11306;1824;54739;<1200;3.0;-21,8896;-49,0310;17
275634;Iacri;3519204;27;4;2021-04-27;185;0;2,949617e+03;   1,7142857;5;0;7,971939e+01;  0,1428571;0,0270270270;RA de Marília;8;Marília;5;6272;1251;32195;<300;5.0;-21,8572;-50,6932;17
275635;Iaras;3519253;27;4;2021-04-27;166;1;2,407891e+03;   3,7142857;11;0;1,595590e+02;  0,0000000;0,0662650602;RA de Sorocaba;13;Bauru;12;6894;888;40138;<300;5.0;-22,8682;-49,1634;17
275636;Ibaté;3519303;27;4;2021-04-27;2628;21;7,565202e+03;   9,4285714;68;0;1,957511e+02;  0,7142857;0,0258751903;RA Central;5;Araraquara;8;34738;4113;29098;<5000;2.0;-21,9584;-47,9882;17
275637;Ibirá;3519402;27;4;2021-04-27;1018;0;8,441828e+03;   1,8571429;23;0;1,907289e+02;  0,1428571;0,0225933202;RA de São José do Rio Preto;14;São José do Rio Preto;15;12059;2221;27191;<1200;3.0;-21,0830;-49,2448;17
275638;Ibirarema;3519501;27;4;2021-04-27;529;0;7,044879e+03;   4,1428571;18;0;2,397123e+02;  0,1428571;0,0340264650;RA de Marília;8;Marília;5;7509;1151;22823;<600;4.0;-22,8185;-50,0739;17
275639;Ibitinga;3519600;27;4;2021-04-27;5353;45;9,150271e+03;  41,8571429;141;3;2,410215e+02;  2,7142857;0,0263403699;RA Central;5;Araraquara;8;58501;9244;68939;>5000;1.0;-21,7562;-48,8319;17
275640;Ibiúna;3519709;27;4;2021-04-27;2477;32;3,240874e+03;  19,2857143;48;0;6,280256e+01;  0,0000000;0,0193782802;RA de Sorocaba;13;Sorocaba;6;76430;10936;105808;<5000;2.0;-23,6596;-47,2230;17
275641;Icém;3519808;27;4;2021-04-27;674;0;8,391434e+03;   9,5714286;14;0;1,743028e+02;  0,1428571;0,0207715134;RA de São José do Rio Preto;14;São José do Rio Preto;15;8032;1170;36236;<1200;3.0;-20,3391;-49,1915;17
275642;Iepê;3519907;27;4;2021-04-27;520;13;6,564828e+03;   2,7142857;12;0;1,514960e+02;  0,0000000;0,0230769231;RA de Presidente Prudente;9;Presidente Prudente;2;7921;1461;59497;<600;4.0;-22,6602;-51,0779;17
275643;Igaraçu do Tietê;3520004;27;4;2021-04-27;1332;0;5,518956e+03;   1,4285714;30;0;1,243008e+02;  0,2857143;0,0225225225;RA de Bauru;3;Bauru;12;24135;3410;9775;<5000;2.0;-22,5090;-48,5597;17
275644;Igarapava;3520103;27;4;2021-04-27;1092;4;3,707224e+03;   3,0000000;41;0;1,391907e+02;  0,2857143;0,0375457875;RA de Franca;6;Franca;4;29456;4921;46836;<1200;3.0;-20,0407;-47,7466;17
275645;Igaratá;3520202;27;4;2021-04-27;1724;7;1,851375e+04;   2,7142857;23;1;2,469931e+02;  0,1428571;0,0133410673;RA de São José dos Campos;15;Taubaté;17;9312;1532;29295;<5000;2.0;-23,2037;-46,1570;17
275646;Iguape;3520301;27;4;2021-04-27;1506;7;5,111149e+03;   4,4285714;59;2;2,002376e+02;  1,0000000;0,0391766268;RA de Registro;16;Registro;9;29465;5406;19788;<5000;2.0;-24,6990;-47,5537;17
275647;Ilhabela;3520400;27;4;2021-04-27;5457;33;1,630415e+04;  14,8571429;32;0;9,560801e+01;  0,0000000;0,0058640279;RA de São José dos Campos;15;Taubaté;17;33470;3732;34639;>5000;1.0;-23,7785;-45,3552;17
275648;Ilha Comprida;3520426;27;4;2021-04-27;817;23;7,935120e+03;   5,4285714;29;1;2,816628e+02;  0,7142857;0,0354957160;RA de Registro;16;Registro;9;10296;2235;19657;<1200;3.0;-24,7307;-47,5383;17
275649;Ilha Solteira;3520442;27;4;2021-04-27;1762;15;6,843250e+03;   9,1428571;63;2;2,446792e+02;  0,2857143;0,0357548241;RA de Araçatuba;1;Araçatuba;7;25748;5242;65264;<5000;2.0;-20,4326;-51,3426;17
275650;Indaiatuba;3520509;27;4;2021-04-27;17593;75;7,243853e+03;  46,0000000;431;2;1,774627e+02;  1,1428571;0,0244983800;RA de Campinas;4;Campinas;3;242868;33887;31155;>5000;1.0;-23,0816;-47,2101;17
275651;Indiana;3520608;27;4;2021-04-27;200;1;4,188482e+03;   0,7142857;8;1;1,675393e+02;  0,2857143;0,0400000000;RA de Presidente Prudente;9;Presidente Prudente;2;4775;891;12937;<300;5.0;-22,1738;-51,2555;17
275652;Indiaporã;3520707;27;4;2021-04-27;143;0;3,710431e+03;   0,0000000;5;0;1,297353e+02;  0,0000000;0,0349650350;RA de São José do Rio Preto;14;São José do Rio Preto;15;3854;934;27961;<150;6.0;-19,9790;-50,2909;17
275653;Inúbia Paulista;3520806;27;4;2021-04-27;239;0;6,140802e+03;   1,8571429;10;0;2,569373e+02;  0,0000000;0,0418410042;RA de Presidente Prudente;9;Marília;5;3892;690;8712;<300;5.0;-21,7695;-50,9633;17
275654;Ipaussu;3520905;27;4;2021-04-27;1112;10;7,665793e+03;   3,4285714;26;0;1,792362e+02;  1,8571429;0,0233812950;RA de Marília;8;Marília;5;14506;2258;20955;<1200;3.0;-23,0575;-49,6279;17
275655;Iperó;3521002;27;4;2021-04-27;1755;26;5,108873e+03;  13,1428571;19;0;5,530973e+01;  0,2857143;0,0108262108;RA de Sorocaba;13;Sorocaba;6;34352;4001;17029;<5000;2.0;-23,3513;-47,6927;17
275656;Ipeúna;3521101;27;4;2021-04-27;387;0;5,111610e+03;   2,7142857;5;0;6,604147e+01;  0,0000000;0,0129198966;RA de Campinas;4;Piracicaba;11;7571;942;19001;<600;4.0;-22,4355;-47,7151;17
275657;Ipiguá;3521150;27;4;2021-04-27;744;1;1,422290e+04;   2,5714286;17;1;3,249857e+02;  0,2857143;0,0228494624;RA de São José do Rio Preto;14;São José do Rio Preto;15;5231;946;13603;<1200;3.0;-20,6557;-49,3842;17
275658;Iporanga;3521200;27;4;2021-04-27;220;1;4,992058e+03;   0,5714286;4;0;9,076469e+01;  0,0000000;0,0181818182;RA de Itapeva;7;Registro;9;4407;657;115206;<300;5.0;-24,5847;-48,5971;17
275659;Ipuã;3521309;27;4;2021-04-27;1271;6;8,013366e+03;   3,7142857;39;0;2,458861e+02;  0,1428571;0,0306845004;RA de Franca;6;Franca;4;15861;2027;46646;<5000;2.0;-20,4438;-48,0129;17
275660;Iracemápolis;3521408;27;4;2021-04-27;3179;27;1,343959e+04;  10,0000000;69;0;2,917054e+02;  0,0000000;0,0217049387;RA de Campinas;4;Piracicaba;11;23654;3298;11512;<5000;2.0;-22,5832;-47,5230;17
275661;Irapuã;3521507;27;4;2021-04-27;438;5;5,663305e+03;   2,8571429;15;1;1,939488e+02;  0,2857143;0,0342465753;RA de São José do Rio Preto;14;São José do Rio Preto;15;7734;1338;25761;<600;4.0;-21,2768;-49,4164;17
275662;Irapuru;3521606;27;4;2021-04-27;476;7;6,490319e+03;   4,8571429;20;2;2,727025e+02;  0,2857143;0,0420168067;RA de Presidente Prudente;9;Presidente Prudente;2;7334;1447;21446;<600;4.0;-21,5684;-51,3472;17
275663;Itaberá;3521705;27;4;2021-04-27;1433;6;8,135574e+03;   4,0000000;22;0;1,249006e+02;  0,0000000;0,0153524075;RA de Itapeva;7;Sorocaba;6;17614;2959;110025;<5000;2.0;-23,8638;-49,1400;17
275664;Itaí;3521804;27;4;2021-04-27;1419;20;5,353303e+03;  13,7142857;35;2;1,320406e+02;  0,4285714;0,0246652572;RA de Itapeva;7;Bauru;12;26507;3561;109288;<5000;2.0;-23,4213;-49,0920;17
275665;Itajobi;3521903;27;4;2021-04-27;1182;6;8,088135e+03;   4,8571429;26;0;1,779116e+02;  0,0000000;0,0219966159;RA de São José do Rio Preto;14;São José do Rio Preto;15;14614;3191;50207;<1200;3.0;-21,3123;-49,0629;17
275666;Itaju;3522000;27;4;2021-04-27;358;2;9,797482e+03;   4,1428571;2;0;5,473454e+01;  0,0000000;0,0055865922;RA de Bauru;3;Bauru;12;3654;622;23036;<600;4.0;-21,9857;-48,8116;17
275667;Itanhaém;3522109;27;4;2021-04-27;4127;46;4,178944e+03;  18,8571429;187;3;1,893537e+02;  0,7142857;0,0453113642;RA de Santos;12;Baixada Santista;13;98757;17117;60171;<5000;2.0;-24,1736;-46,7880;17
275668;Itaoca;3522158;27;4;2021-04-27;230;0;7,219083e+03;   0,0000000;2;0;6,277464e+01;  0,0000000;0,0086956522;RA de Itapeva;7;Sorocaba;6;3186;596;18302;<300;5.0;-24,6393;-48,8413;17
275669;Itapecerica da Serra;3522208;27;4;2021-04-27;5782;38;3,408816e+03;  28,2857143;332;1;1,957328e+02;  2,2857143;0,0574195780;RM de São Paulo;10;Grande São Paulo;10;169619;18223;15074;>5000;1.0;-23,7161;-46,8572;17
275670;Itapetininga;3522307;27;4;2021-04-27;11117;46;6,941617e+03;  43,2857143;141;2;8,804246e+01;  0,2857143;0,0126832779;RA de Sorocaba;13;Sorocaba;6;160150;23100;178935;>5000;1.0;-23,5886;-48,0483;17
275671;Itapeva;3522406;27;4;2021-04-27;4982;80;5,433348e+03; 103,2857143;183;12;1,995790e+02;  1,8571429;0,0367322360;RA de Itapeva;7;Sorocaba;6;91693;12332;182626;<5000;2.0;-23,9788;-48,8764;17
275672;Itapevi;3522505;27;4;2021-04-27;8298;88;3,490749e+03;  51,8571429;469;3;1,972959e+02;  2,7142857;0,0565196433;RM de São Paulo;10;Grande São Paulo;10;237714;23105;8266;>5000;1.0;-23,5488;-46,9327;17
275673;Itapira;3522604;27;4;2021-04-27;5129;69;7,173427e+03;  22,1428571;146;1;2,041958e+02;  2,0000000;0,0284655878;RA de Campinas;4;São João da Boa Vista;14;71500;13246;51842;>5000;1.0;-22,4357;-46,8224;17
275674;Itapirapuã Paulista;3522653;27;4;2021-04-27;435;3;1,040670e+04;   2,1428571;2;0;4,784689e+01;  0,0000000;0,0045977011;RA de Itapeva;7;Sorocaba;6;4180;557;40648;<600;4.0;-24,5720;-49,1661;17
275675;Itápolis;3522703;27;4;2021-04-27;3031;50;7,295177e+03;  36,1428571;72;5;1,732935e+02;  1,0000000;0,0237545365;RA Central;5;Araraquara;8;41548;7560;99675;<5000;2.0;-21,5942;-48,8149;17
275676;Itaporanga;3522802;27;4;2021-04-27;1077;49;7,332516e+03;  21,0000000;30;2;2,042484e+02;  0,5714286;0,0278551532;RA de Itapeva;7;Bauru;12;14688;2690;508;<1200;3.0;-23,7043;-49,4819;17
275677;Itapuí;3522901;27;4;2021-04-27;1034;19;7,504173e+03;   3,7142857;15;0;1,088613e+02;  0,0000000;0,0145067698;RA de Bauru;3;Bauru;12;13779;2074;14002;<1200;3.0;-22,2324;-48,7197;17
275678;Itapura;3523008;27;4;2021-04-27;171;0;3,478438e+03;   0,1428571;6;0;1,220504e+02;  0,0000000;0,0350877193;RA de Araçatuba;1;Araçatuba;7;4916;799;30165;<300;5.0;-20,6419;-51,5063;17
275679;Itaquaquecetuba;3523107;27;4;2021-04-27;12254;122;3,306628e+03;  56,7142857;641;4;1,729679e+02;  3,7142857;0,0523094500;RM de São Paulo;10;Grande São Paulo;10;370589;37537;8262;>5000;1.0;-23,4835;-46,3457;17
275680;Itararé;3523206;27;4;2021-04-27;3701;71;7,550288e+03;  31,2857143;133;0;2,713289e+02;  1,0000000;0,0359362335;RA de Itapeva;7;Sorocaba;6;49018;7477;100386;<5000;2.0;-24,1085;-49,3352;17
275681;Itariri;3523305;27;4;2021-04-27;959;3;5,551696e+03;   3,2857143;26;0;1,505152e+02;  0,0000000;0,0271115746;RA de Registro;16;Registro;9;17274;2412;27367;<1200;3.0;-24,2834;-47,1736;17
275682;Itatiba;3523404;27;4;2021-04-27;7097;78;6,018691e+03;  38,1428571;79;0;6,699685e+01;  2,0000000;0,0111314640;RA de Campinas;4;Campinas;3;117916;17334;32228;>5000;1.0;-23,0035;-46,8464;17
275683;Itatinga;3523503;27;4;2021-04-27;1265;11;6,155718e+03;   9,0000000;23;0;1,119221e+02;  0,1428571;0,0181818182;RA de Sorocaba;13;Bauru;12;20550;2438;97982;<5000;2.0;-23,1047;-48,6157;17
275684;Itirapina;3523602;27;4;2021-04-27;1131;9;6,590141e+03;   4,2857143;24;0;1,398438e+02;  0,0000000;0,0212201592;RA de Campinas;4;Piracicaba;11;17162;2082;5646;<1200;3.0;-22,2562;-47,8166;17
275685;Itirapuã;3523701;27;4;2021-04-27;215;0;3,424112e+03;   1,2857143;2;0;3,185221e+01;  0,0000000;0,0093023256;RA de Franca;6;Franca;4;6279;990;16112;<300;5.0;-20,6416;-47,2194;17
275686;Itobi;3523800;27;4;2021-04-27;496;0;6,518596e+03;   0,0000000;8;0;1,051387e+02;  0,0000000;0,0161290323;RA de Campinas;4;São João da Boa Vista;14;7609;1304;13899;<600;4.0;-21,7309;-46,9743;17
275687;Itu;3523909;27;4;2021-04-27;12494;110;7,359282e+03;  55,4285714;258;8;1,519685e+02;  1,5714286;0,0206499120;RA de Sorocaba;13;Sorocaba;6;169772;24287;64072;>5000;1.0;-23,2544;-47,2927;17
275688;Itupeva;3524006;27;4;2021-04-27;4165;19;7,040349e+03;  10,1428571;83;0;1,402999e+02;  0,7142857;0,0199279712;RA de Campinas;4;Campinas;3;59159;6478;20082;<5000;2.0;-23,1526;-47,0593;17
275689;Ituverava;3524105;27;4;2021-04-27;1207;12;2,999056e+03;   6,2857143;74;1;1,838692e+02;  0,5714286;0,0613090307;RA de Franca;6;Franca;4;40246;7374;70466;<5000;2.0;-20,3355;-47,7902;17
275690;Jaborandi;3524204;27;4;2021-04-27;388;0;5,810993e+03;   1,4285714;8;0;1,198143e+02;  0,0000000;0,0206185567;RA de Barretos;2;Barretos;16;6677;1128;27344;<600;4.0;-20,6884;-48,4112;17
