Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Cabrália Paulista;2020;2709;1.59;1594;2.7;20;197;122;460;315;1;3508306
Cabreúva;2020;30808;1.6;18833;2.62;70;1246;397;6408;3843;11;3508405
Cachoeira Paulista;2020;17044;1.89;10588;3.04;32;459;314;3627;2022;2;3508603
Caconde;2020;10836;1.74;7002;2.69;79;299;129;1674;1651;2;3508702
Cafelândia;2020;10870;1.59;6599;2.61;92;418;553;1921;1281;6;3508801
Caiabu;2020;2117;1.94;1372;2.99;46;48;48;346;257;;3508900
Caieiras;2020;48187;2.09;31980;3.15;454;1316;607;7241;6555;34;3509007
Caiuá;2020;1918;2.92;1033;5.42;24;70;110;420;261;;3509106
Cajamar;2020;45910;1.69;29355;2.64;391;1983;744;7077;6340;20;3509205
Cajati;2020;15649;1.85;7662;3.78;226;901;559;4636;1657;8;3509254
Cajobi;2020;5879;1.72;3701;2.73;104;328;235;709;801;1;3509304
Cajuru;2020;16351;1.57;9895;2.59;128;649;568;2638;2470;3;3509403
Campina do Monte Alegre;2020;2972;1.96;1757;3.31;35;123;92;583;382;;3509452
Campinas;2020;922266;1.27;618993;1.9;5702;24334;15403;138156;119334;344;3509502
Campo Limpo Paulista;2020;49195;1.68;32628;2.54;66;861;507;9655;5466;12;3509601
Campos do Jordão;2020;37051;1.35;22776;2.2;75;775;410;8032;4970;13;3509700
Campos Novos Paulista;2020;2506;1.92;1306;3.69;48;153;74;545;380;;3509809
Cananéia;2020;3989;3.09;2038;6.06;16;110;124;1125;574;2;3509908
Canas;2020;2054;2.47;1155;4.38;10;165;50;407;264;3;3509957
Cândido Mota;2020;21447;1.4;11720;2.56;81;1338;798;4517;2980;13;3510005
Cândido Rodrigues;2020;1937;1.38;1167;2.29;14;129;81;251;294;1;3510104
Canitar;2020;2096;2.38;1361;3.67;23;71;107;339;195;;3510153
Capão Bonito;2020;27287;1.7;13678;3.39;230;1354;821;8016;3182;6;3510203
Capela do Alto;2020;12954;1.59;6998;2.94;55;693;307;3224;1662;15;3510302
Capivari;2020;38012;1.43;22488;2.41;314;1685;1212;7678;4628;7;3510401
