"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Mogi das Cruzes";"2018";"101929";"56131";"45798";3530607
"Mogi Guaçu";"2018";"38896";"22942";"15954";3530706
"Mogi Mirim";"2018";"27610";"16111";"11499";3530805
"Mombuca";"2018";"724";"443";"281";3530904
"Mongaguá";"2018";"6330";"3368";"2962";3531100
"Monte Alegre do Sul";"2018";"1283";"731";"552";3531209
"Monte Alto";"2018";"13364";"7734";"5630";3531308
"Monte Aprazível";"2018";"4478";"2744";"1734";3531407
"Monte Azul Paulista";"2018";"4828";"3139";"1689";3531506
"Monte Castelo";"2018";"546";"293";"253";3531605
"Monte Mor";"2018";"12932";"7593";"5339";3531803
"Monteiro Lobato";"2018";"678";"422";"256";3531704
"Monções";"2018";"1494";"1254";"240";3531001
"Morro Agudo";"2018";"7872";"5505";"2367";3531902
"Morungaba";"2018";"4697";"2049";"2648";3532009
"Motuca";"2018";"590";"315";"275";3532058
"Murutinga do Sul";"2018";"450";"232";"218";3532108
"Nantes";"2018";"373";"224";"149";3532157
"Narandiba";"2018";"1017";"632";"385";3532207
"Natividade da Serra";"2018";"702";"480";"222";3532306
"Nazaré Paulista";"2018";"2732";"1651";"1081";3532405
"Neves Paulista";"2018";"1530";"936";"594";3532504
"Nhandeara";"2018";"1800";"928";"872";3532603
"Nipoã";"2018";"637";"364";"273";3532702
"Nova Aliança";"2018";"1372";"752";"620";3532801
"Nova Campina";"2018";"1959";"1511";"448";3532827
"Nova Canaã Paulista";"2018";"217";"118";"99";3532843
"Nova Castilho";"2018";"216";"131";"85";3532868
"Nova Europa";"2018";"3463";"2703";"760";3532900
"Nova Granada";"2018";"2790";"1533";"1257";3533007
"Nova Guataporanga";"2018";"244";"128";"116";3533106
"Nova Independência";"2018";"1587";"1250";"337";3533205
"Nova Luzitânia";"2018";"269";"127";"142";3533304
"Nova Odessa";"2018";"19560";"12336";"7224";3533403
"Novais";"2018";"450";"193";"257";3533254
"Novo Horizonte";"2018";"9788";"6358";"3430";3533502
"Nuporanga";"2018";"3092";"1444";"1648";3533601
"Ocauçu";"2018";"898";"581";"317";3533700
"Óleo";"2018";"340";"219";"121";3533809
"Olímpia";"2018";"15228";"9186";"6042";3533908
"Onda Verde";"2018";"2299";"1700";"599";3534005
"Oriente";"2018";"856";"516";"340";3534104
"Orindiúva";"2018";"2676";"2063";"613";3534203
"Orlândia";"2018";"11505";"7672";"3833";3534302
"Osasco";"2018";"158529";"86559";"71970";3534401
"Oscar Bressane";"2018";"454";"246";"208";3534500
"Osvaldo Cruz";"2018";"7400";"3970";"3430";3534609
"Ourinhos";"2018";"26810";"15481";"11329";3534708
"Ouro Verde";"2018";"740";"412";"328";3534807
"Ouroeste";"2018";"2912";"2167";"745";3534757
"Pacaembu";"2018";"2629";"1013";"1616";3534906
"Palestina";"2018";"2598";"1825";"773";3535002
"Palmares Paulista";"2018";"814";"331";"483";3535101
"Palmeira d'Oeste";"2018";"1131";"664";"467";3535200
"Palmital";"2018";"3965";"2479";"1486";3535309
"Panorama";"2018";"2625";"1637";"988";3535408
"Paraguaçu Paulista";"2018";"12669";"8819";"3850";3535507
"Paraibuna";"2018";"2718";"1526";"1192";3535606
"Paraíso";"2018";"2041";"1503";"538";3535705
"Paranapanema";"2018";"4572";"2671";"1901";3535804
"Paranapuã";"2018";"784";"472";"312";3535903
"Parapuã";"2018";"2825";"2019";"806";3536000
"Pardinho";"2018";"2165";"1205";"960";3536109
"Pariquera-Açu";"2018";"4426";"2308";"2118";3536208
"Parisi";"2018";"329";"194";"135";3536257
