CodIBGE;Localidade;Populacao;Pop60mais%;DensDem;RazaoSexos;GrauUrb;TxMortalidade;PIBPerCapita;VlAdTPop;VlAdAPPop;VlAdIndPop;VlAdSrvPop;VlAdAgrPop;ImpostosPop;ConsEElTPop;ConsEEIndPop;ConsEECSPop;ConsEERurPop;ConsEEResPop;ConsEEIlPubPop;FrotaVeículosPop;AutomóveisPop;LeitosMilHab;LeitosSUSMilHab;AuxEnfMilHab;EnfMilHab;MedMilHab;TecEnfMilHab;EmpFormPop;RazaoEmpSexo;RendMedEmpregos;IDH-M;IDH-Long;IDH-Educ;IDH-Renda;RendaPCapita;DomMeioSMPC%;DomQuarSMPC%;Agua%;Lixo%;Esgoto%;CasosCovid;ObitosCovid;IncidCovid%;LetalidCovid%;MortalidCovid%
3501806;Américo de Campos;5730;22,11169284;0,226826953;99,72;87,89;11,51;20532,34;19,98028447;4,755657941;0,786584642;11,87686387;7,316835951;0,56639267;1,826352531;0,018150087;0,227225131;0,404363002;0,843979058;0,332635253;0,686736475;0,408551483;0;0;1,22;2,27;0,35;2,96;0,097033159;0,84717608;2053,55;0,745;0,817;0,708;0,715;591,29;17,83;2,93;99,82;99,82;98,98;769;23;13,40655509;2,990897269;0,40097629
3501905;Amparo;69861;18,21760353;1,56379682;96,39;84,65;8,07;67394,44;56,15479982;4,308793604;27,64940739;27,41268576;1,092706804;10,35598417;5,829003307;4,030374601;0,356422038;0,330327364;0,865160819;0,24670417;0,814216802;0,443824165;5,66;3,1;1,13;2,21;2,24;6,13;0,341120224;1,262937993;2624,95;0,785;0,871;0,711;0,78;816,69;10,48;2,8;93,95;99,85;89,47;5450;129;7,82607447;2,366972477;0,185241029
3502002;Analândia;4895;16,60878447;0,148795828;104,13;84,21;5,84;38768,15;36,40581205;6,421174668;12,23032278;17,48742594;6,68806333;1,182263534;2,143003064;0,485801839;0,167722165;0,315628192;0,841470889;0,332175689;0,568335036;0,347497446;0;0;1,04;1,88;0,42;3,33;0,202247191;1,861271676;2314,88;0,754;0,861;0,668;0,745;685,94;17,98;4,33;98,73;100;93,28;288;4;5,93814433;1,388888889;0,082474227
3502101;Andradina;56087;19,21300836;0,581334329;95,9;94,38;9,32;34365,09;31,62866636;4,245452422;7,250136574;22,59571345;1,782816339;2,648195125;3,697487831;1,705368445;0,566673204;0,136734003;1,020165101;0,268547079;0,845097794;0,421933781;2,27;1,63;5,43;2,34;2,95;3,21;0,277336994;1,362545565;2271,01;0,779;0,885;0,702;0,762;710;16,83;5,28;99,32;99,47;90,29;5422;229;9,672815499;4,223533751;0,408534627
3502200;Angatuba;24697;15,28525732;0,2385013;100,71;75,11;6,39;41950,74;37,74117788;4,267057537;12,33955703;19,74276876;5,658852087;3,09017573;6,50188282;3,60748269;1,20953962;0,948941167;0,548730615;0,187188727;0,57172936;0,317366482;2,35;2,23;2,55;1,03;0,58;3,21;0,204964166;1,739177489;2414,56;0,719;0,827;0,648;0,693;524,82;24,21;5,75;99,25;99,6;96,96;2369;58;9,668993102;2,448290418;0,236725032
3502309;Anhembi;6755;14,43375278;0,090583252;103,59;79,08;7,61;27816,02;25,58412139;4,779005181;3,707925981;10,96356477;10,91262916;1,045957069;1,804145078;0,263804589;0,182827535;0,424130274;0,656698742;0,276535899;0,38134715;0,242042931;0;0;0,46;3,65;0;3,05;0,129089563;2,059649123;2038,43;0,721;0,863;0,637;0,681;401,87;26,73;8,46;98,87;99,85;97,97;226;5;3,387290168;2,212389381;0,074940048
3502408;Anhumas;3983;17,07255837;0,123519511;98,95;88,2;7,61;19092,93;18,17443384;5,032179262;1,449706252;10,40513432;6,319595782;0,611704745;1,446648255;0,024604569;0,141601808;0,318855134;0,721315591;0,240271152;0,524730103;0,298518704;0;0;6,09;1,27;0,51;2,54;0,120010043;0,78358209;2019,89;0,741;0,845;0,706;0,683;475,43;26,11;9,26;99,89;100;99,47;202;4;5,097148625;1,98019802;0,100933636
3502507;Aparecida;35744;16,90633393;2,949207136;92,74;98,55;8,84;30440,63;28,83334378;4,089801365;1,207856703;27,58318263;0,042304722;1,459107543;2,621139212;0,108549687;1,348366159;0,018660474;0,889519919;0,256014996;0,634148389;0,360731871;2,92;1,96;1,04;2,05;0,9;6,17;0,324529991;1,054915855;2001,77;0,755;0,828;0,706;0,735;639,68;20,15;5,83;99,33;99,01;97,01;2166;77;6,065697723;3,554939982;0,215631914
3502606;Aparecida d'Oeste;4105;24,28745432;23,08379888;93,81;87,24;14,9;30670,19;29,46296711;5,020701583;8,388136419;14,72242144;6,352409257;1,857242387;2,402923264;0,593422655;0,200974421;0,503532278;0,823873325;0,281120585;0,822168088;0,480876979;5,29;4,81;0,96;3,84;1,68;7,45;0,17320341;1,594890511;1901,23;0,721;0,804;0,67;0,697;508;26,89;9,37;99,69;100;96,99;689;12;16,67473379;1,741654572;0,290416263
3502705;Apiaí;24711;14,9123872;0,253161179;99,39;81,8;7,54;24094,95;22,3580798;3,819462588;5,609850674;12,36427502;4,383953705;1,707618874;6,419893974;5,49787544;0,183440573;0,063736797;0,508518474;0,166282222;0,496175792;0,257739468;1,82;1,58;2,59;1,3;0,81;3,08;0,176965724;1,516110472;1909,05;0,71;0,835;0,647;0,662;445,21;44,46;21,26;96,85;97,86;69,96;1178;66;4,775804751;5,602716469;0,267574799
3503000;Aramina;5515;17,76971895;0,270965833;99,39;96,46;9,15;23303,56;21,40216319;4,182232094;0,908076156;15,47343427;5,020652765;1,554902992;1,765548504;0,039709882;0,230099728;0,154669084;0,933635539;0,407252947;0,58712602;0,393472348;0;0;0,37;1,28;0,55;4,21;0,129827743;0,835897436;1965,82;0,74;0,856;0,656;0,723;616,78;17,42;4,66;99,87;99,09;97,14;276;10;5,021834061;3,623188406;0,181950509
3503109;Arandu;6168;16,69909209;0,215627295;100,98;83,12;8,61;19106,18;18,41695525;4,780911154;0,987418936;11,04118191;6,38835441;0,645859274;1,598573281;0,009241245;0,129377432;0,504053178;0,639429313;0,316309987;0,465466926;0,281452659;1,95;1,95;4,06;0,81;0,32;0,65;0,221303502;2,109339408;1760,2;0,685;0,806;0,592;0,675;484,52;22,54;5,78;95,06;99,37;94,64;408;11;6,618004866;2,696078431;0,178426602
3503158;Arapeí;2469;17,53746456;1,574888464;99,6;77,93;7,69;12425,66;12,02465371;5,814925071;0,658582422;10,65702714;0,709044147;0,411073309;1,10490077;0,008100446;0,1672742;0,178209802;0,596192791;0,15471851;0,479546375;0,291616039;0;0;2,43;0,81;0;1,21;0,152288376;1,523489933;1659,16;0,68;0,812;0,612;0,634;414,54;31,9;9,75;96,71;99,34;59,38;195;3;7,891541886;1,538461538;0,121408337
3503208;Araraquara;228792;17,56529949;2,267947351;93,22;97,16;7,79;41932,16;36,62435929;4,384552825;7,393847162;28,82419101;0,406321069;4,500830536;3,216747089;1,034900696;0,645179901;0,027295535;1,06688608;0,442484877;0,824019196;0,477359348;1,96;0,98;1,57;2,94;3,23;7,92;0,32292213;1,057822466;2707,7;0,815;0,877;0,782;0,788;891,74;12,69;4,21;99,43;99,96;98,89;18837;414;8,275707545;2,197802198;0,181883682
3503307;Araras;131931;16,36764672;2,032427151;96,45;95,26;7,24;43249,23;37,39727661;4,193857774;10,35202454;26,26902517;0,776226891;4,784911204;3,689906087;1,840037595;0,615928023;0,118213308;0,845388878;0,270345863;0,803707999;0,439282655;3,87;1,89;3,6;3,63;2,43;7,03;0,285649317;1,486211901;2818,79;0,781;0,859;0,728;0,763;796,15;13,16;3,8;99,91;99,95;99,79;14529;323;11,08601601;2,223139927;0,246457648
3502754;Araçariguama;21289;10,30109446;14,44903581;102,21;100;5,1;161739,55;126,4208065;5,487610973;42,34399878;84,02146179;0,055345953;27,21999389;19,92019353;18,09906524;0,741039974;0,00915966;0,839165766;0,231809855;0,538071304;0,315045329;0;0;1,17;1,12;0,39;3,2;0,471229273;2,188811189;2906,71;0,704;0,814;0,597;0,717;591,97;20,93;6,03;68,14;91,23;53,42;1484;48;7,073403241;3,234501348;0,228789323
3502804;Araçatuba;190921;18,4668004;1,631943314;92,15;98,07;8,48;38909,71;35,21701809;3,569395404;6,014065137;28,63183275;0,571120254;3,27754951;2,918976959;0,536326543;0,691846366;0,048716485;1,330209877;0,311877688;0,92869302;0,440014456;2,29;1,61;6,11;3,31;3,37;3,32;0,274521923;1,269212452;2536,9;0,788;0,841;0,744;0,782;847,76;15,06;5,58;99,04;99,85;98,65;23673;704;12,42879419;2,973852068;0,369613953
3502903;Araçoiaba da Serra;32846;15,53613834;1,26855442;97,65;68,74;8,06;27475,27;23,71842568;4,056913171;6,98140017;16,09172715;0,645298667;2,524696767;2,26907386;0,170431712;0,297022468;0,167996103;1,348139804;0,285514218;0,676124947;0,393807465;10,07;0;4,71;1,76;3,07;2,54;0,161693966;1,278421278;2236,62;0,776;0,86;0,723;0,751;763,31;20,64;6,81;81,95;99,71;40,67;2274;52;7,020685397;2,286719437;0,160543378
