Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Gália;2010;0.709;542;0.823;0.634;0.684;3516606
Garça;2010;0.769;115;0.849;0.728;0.737;3516705
Gastão Vidigal;2010;0.723;446;0.817;0.635;0.727;3516804
Gavião Peixoto;2010;0.719;476;0.802;0.676;0.687;3516853
General Salgado;2010;0.747;252;0.808;0.702;0.734;3516903
Getulina;2010;0.717;494;0.813;0.652;0.696;3517000
Glicério;2010;0.735;345;0.858;0.63;0.735;3517109
Guaimbê;2010;0.728;409;0.83;0.689;0.675;3517307
Guaíra;2010;0.753;207;0.824;0.683;0.759;3517406
Guaiçara;2010;0.739;314;0.853;0.679;0.697;3517208
Guapiara;2010;0.675;631;0.806;0.602;0.634;3517604
Guapiaçu;2010;0.725;430;0.866;0.605;0.728;3517505
Guará;2010;0.718;489;0.826;0.63;0.71;3517703
Guaraci;2010;0.737;330;0.84;0.682;0.698;3517901
Guarani d'Oeste;2010;0.732;370;0.806;0.714;0.682;3518008
Guarantã;2010;0.713;515;0.832;0.623;0.698;3518107
Guararapes;2010;0.763;145;0.84;0.726;0.727;3518206
Guararema;2010;0.731;381;0.817;0.656;0.729;3518305
Guaratinguetá;2010;0.798;25;0.886;0.751;0.764;3518404
Guaraçaí;2010;0.719;476;0.803;0.663;0.699;3517802
Guareí;2010;0.687;612;0.805;0.583;0.692;3518503
Guariba;2010;0.719;476;0.811;0.645;0.712;3518602
Guarujá;2010;0.751;219;0.854;0.679;0.729;3518701
Guarulhos;2010;0.763;145;0.831;0.717;0.746;3518800
Guatapará;2010;0.743;283;0.822;0.688;0.724;3518859
Guzolândia;2010;0.697;590;0.808;0.621;0.676;3518909
Herculândia;2010;0.727;418;0.809;0.698;0.68;3519006
Holambra;2010;0.793;32;0.878;0.698;0.815;3519055
Hortolândia;2010;0.756;188;0.859;0.703;0.716;3519071
Iacanga;2010;0.745;265;0.851;0.675;0.721;3519105
Iacri;2010;0.733;362;0.857;0.655;0.701;3519204
Iaras;2010;0.674;632;0.848;0.543;0.664;3519253
Ibaté;2010;0.703;565;0.814;0.627;0.681;3519303
Ibirá;2010;0.74;306;0.841;0.65;0.741;3519402
Ibirarema;2010;0.708;546;0.817;0.628;0.692;3519501
Ibitinga;2010;0.747;252;0.846;0.667;0.738;3519600
Ibiúna;2010;0.71;534;0.832;0.614;0.7;3519709
Icém;2010;0.72;469;0.806;0.646;0.716;3519808
Iepê;2010;0.736;339;0.814;0.7;0.7;3519907
Igarapava;2010;0.768;121;0.835;0.671;0.809;3520103
Igaratá;2010;0.711;528;0.855;0.616;0.683;3520202
Igaraçu do Tietê;2010;0.727;418;0.838;0.664;0.691;3520004
Iguape;2010;0.726;426;0.847;0.653;0.691;3520301
Ilha Comprida;2010;0.725;430;0.823;0.666;0.696;3520426
Ilha Solteira;2010;0.812;10;0.871;0.782;0.786;3520442
Ilhabela;2010;0.756;188;0.843;0.693;0.739;3520400
Indaiatuba;2010;0.788;40;0.837;0.738;0.791;3520509
Indiana;2010;0.761;160;0.843;0.733;0.714;3520608
