"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Capivari";"2018";"2059704,04";"38789,15";"0,093176";3510401
"Caraguatatuba";"2018";"3325920,05";"29378,84";"0,150456";3510500
"Carapicuíba";"2018";"5745311,02";"14731,19";"0,259903";3510609
"Cardoso";"2018";"255539,28";"21766,55";"0,01156";3510708
"Casa Branca";"2018";"831167,96";"28429,61";"0,0376";3510807
"Cássia dos Coqueiros";"2018";"148915,3";"59140,31";"0,006737";3510906
"Castilho";"2018";"864943,67";"42838,08";"0,039128";3511003
"Catanduva";"2018";"4195220,66";"36030,58";"0,189781";3511102
"Catiguá";"2018";"116893,23";"15679,84";"0,005288";3511201
"Caçapava";"2018";"4318444,52";"47952,35";"0,195355";3508504
"Cedral";"2018";"312425,16";"36022,73";"0,014133";3511300
"Cerqueira César";"2018";"605187,35";"32056,11";"0,027377";3511409
"Cerquilho";"2018";"1833225,49";"40590,41";"0,08293";3511508
"Cesário Lange";"2018";"432253,65";"25500,19";"0,019554";3511607
"Charqueada";"2018";"353905,36";"21356,91";"0,01601";3511706
"Chavantes";"2018";"207456,09";"17003,2";"0,009385";3557204
"Clementina";"2018";"219808,97";"27180,53";"0,009944";3511904
"Colina";"2018";"1107893,43";"63063,15";"0,050118";3512001
"Colômbia";"2018";"330045,71";"54670,48";"0,01493";3512100
"Conchal";"2018";"692286,47";"25753,75";"0,031317";3512209
"Conchas";"2018";"352392,03";"20770,48";"0,015941";3512308
"Cordeirópolis";"2018";"2822221,98";"118920,53";"0,12767";3512407
"Coroados";"2018";"165503,87";"28525,31";"0,007487";3512506
"Coronel Macedo";"2018";"76871,21";"15804,11";"0,003477";3512605
"Corumbataí";"2018";"248561,38";"63006,69";"0,011244";3512704
"Cosmópolis";"2018";"1591090,84";"23113,55";"0,071977";3512803
"Cosmorama";"2018";"335896,05";"47726,07";"0,015195";3512902
"Cotia";"2018";"12534568,98";"52624,47";"0,567031";3513009
"Cravinhos";"2018";"1195728,54";"35276,39";"0,054092";3513108
"Cristais Paulista";"2018";"193172,63";"23372,37";"0,008739";3513207
"Cruzália";"2018";"104534,08";"48756,57";"0,004729";3513306
"Cruzeiro";"2018";"2435818,47";"30683,22";"0,11019";3513405
"Cubatão";"2018";"13183238,55";"103740,5";"0,596375";3513504
"Cunha";"2018";"259049,86";"11944,94";"0,011719";3513603
"Descalvado";"2018";"1586427,82";"49304,69";"0,071766";3513702
"Diadema";"2018";"14671971,22";"36573,96";"0,663721";3513801
"Dirce Reis";"2018";"57390,65";"33503,01";"0,002596";3513850
"Divinolândia";"2018";"279536,94";"25551,82";"0,012646";3513900
"Dobrada";"2018";"115400,96";"13249,25";"0,00522";3514007
"Dois Córregos";"2018";"647887,01";"24424,6";"0,029309";3514106
"Dolcinópolis";"2018";"46290,91";"22569,92";"0,002094";3514205
"Dourado";"2018";"627179,99";"73733,83";"0,028372";3514304
"Dracena";"2018";"1199690,64";"26842,32";"0,054271";3514403
"Duartina";"2018";"237278,83";"19722,29";"0,010734";3514502
"Dumont";"2018";"228990,75";"24567,19";"0,010359";3514601
"Echaporã";"2018";"125442,02";"20119,01";"0,005675";3514700
"Eldorado";"2018";"321142,1";"21307,2";"0,014528";3514809
"Elias Fausto";"2018";"706704,45";"41453,8";"0,031969";3514908
"Elisiário";"2018";"63736,74";"18592,98";"0,002883";3514924
"Embaúba";"2018";"52162,57";"21653,2";"0,00236";3514957
"Embu das Artes";"2018";"13248193,38";"50033,4";"0,599313";3515004
"Embu-Guaçu";"2018";"1121893,47";"16746,43";"0,050752";3515103
"Emilianópolis";"2018";"61747,36";"20159,11";"0,002793";3515129
"Engenheiro Coelho";"2018";"663314,37";"33794,29";"0,030007";3515152
"Espírito Santo do Pinhal";"2018";"1433232,86";"33754,1";"0,064836";3515186
"Espírito Santo do Turvo";"2018";"78691,6";"16796,5";"0,00356";3515194
"Estiva Gerbi";"2018";"334635,09";"30765,38";"0,015138";3557303
"Estrela d'Oeste";"2018";"626112,64";"77116,97";"0,028324";3515202
"Estrela do Norte";"2018";"50590,35";"19011,78";"0,002289";3515301
"Euclides da Cunha Paulista";"2018";"159117,92";"16708,8";"0,007198";3515350
"Fartura";"2018";"370628,23";"23804";"0,016766";3515400
"Fernando Prestes";"2018";"191407,75";"34382,57";"0,008659";3515608
"Fernandópolis";"2018";"2006103,79";"30447,64";"0,090751";3515509
"Fernão";"2018";"50029,41";"30674,07";"0,002263";3515657
"Ferraz de Vasconcelos";"2018";"3137940,2";"16688,06";"0,141952";3515707
"Flora Rica";"2018";"37968,42";"23509,86";"0,001718";3515806
"Floreal";"2018";"63979";"22184,12";"0,002894";3515905
"Flórida Paulista";"2018";"206633,67";"16869,43";"0,009348";3516002
"Florínea";"2018";"136091,38";"49996,83";"0,006156";3516101
"Franca";"2018";"9992981,25";"29587,97";"0,452056";3516200
"Francisco Morato";"2018";"1517245,4";"8915,06";"0,068636";3516309
"Franco da Rocha";"2018";"2995316,15";"20221,41";"0,1355";3516408
"Gabriel Monteiro";"2018";"74118,4";"27532,84";"0,003353";3516507
"Gália";"2018";"143174,89";"21598,26";"0,006477";3516606
"Garça";"2018";"1192415,75";"27992,95";"0,053942";3516705
"Gastão Vidigal";"2018";"76518,95";"16406,29";"0,003462";3516804
"Gavião Peixoto";"2018";"887102,11";"194029,33";"0,04013";3516853
"General Salgado";"2018";"248503,18";"23305,18";"0,011242";3516903
"Getulina";"2018";"185155,15";"17101,24";"0,008376";3517000
"Glicério";"2018";"101505,73";"21532,82";"0,004592";3517109
"Guaimbê";"2018";"75599,8";"13727,95";"0,00342";3517307
"Guaíra";"2018";"3249524,06";"83824,07";"0,147";3517406
"Guaiçara";"2018";"196222,4";"16774,01";"0,008877";3517208
"Guapiara";"2018";"326393,67";"18397,7";"0,014765";3517604
"Guapiaçu";"2018";"549431,47";"27074,93";"0,024855";3517505
"Guará";"2018";"439580,67";"21316,1";"0,019885";3517703
"Guaraci";"2018";"329127";"30528,43";"0,014889";3517901
"Guarani d'Oeste";"2018";"35546,47";"18398,79";"0,001608";3518008
"Guarantã";"2018";"174176,16";"26958,08";"0,007879";3518107
"Guararapes";"2018";"909954,31";"28595,13";"0,041164";3518206
"Guararema";"2018";"1413582,28";"49267,47";"0,063947";3518305
"Guaratinguetá";"2018";"5672184,13";"48406,98";"0,256595";3518404
"Guaraçaí";"2018";"273862,21";"32509,76";"0,012389";3517802
"Guareí";"2018";"222781,8";"14361,9";"0,010078";3518503
"Guariba";"2018";"899806,5";"23466,68";"0,040705";3518602
"Guarujá";"2018";"8599008,83";"27638,17";"0,388997";3518701
"Guarulhos";"2018";"61325724,49";"46257,38";"2,774214";3518800
"Guatapará";"2018";"212860,23";"28980,29";"0,009629";3518859
"Guzolândia";"2018";"65820,62";"13064,83";"0,002978";3518909
"Herculândia";"2018";"313972";"34325,13";"0,014203";3519006
"Holambra";"2018";"970052,54";"69782,93";"0,043883";3519055
"Hortolândia";"2018";"13116393,02";"58910,63";"0,593351";3519071
"Iacanga";"2018";"427955,46";"38693,98";"0,01936";3519105
