"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Sales Oliveira";"2018";"2210,16";"2344,36";"2399,96";"1794,71";"1852,83";"2185,77";3544905
"Salesópolis";"2018";"1786,93";"1309,31";"2053,41";"1727,75";"1514,5";"2194,82";3545001
"Salmourão";"2018";"1926,27";"2025,04";"1408,13";"1494,13";"1749,48";"2000,54";3545100
"Saltinho";"2018";"2898,25";"1852,29";"3498,27";"2727,42";"2148,75";"3365,48";3545159
"Salto";"2018";"2924,69";"2721,23";"3665,7";"3465,17";"2739,43";"2385,92";3545209
"Salto de Pirapora";"2018";"2730,86";"1902,38";"3287,82";"2268,18";"1804,34";"2820,6";3545308
"Salto Grande";"2018";"2270,79";"2022,32";"2597,17";"1891,14";"2217,66";"2158,95";3545407
"Sandovalina";"2018";"2838,99";"1966,81";"3120,56";"2126,67";"1584,07";"2288,5";3545506
"Santa Adélia";"2018";"2547,32";"3205,73";"1666,13";"1445,57";"1651,91";"1820,11";3545605
"Santa Albertina";"2018";"2646,12";"2990,16";"2886,73";"1544,85";"1469,48";"2125,86";3545704
"Santa Bárbara d'Oeste";"2018";"2746,82";"2506,54";"3285,3";"3333,71";"2148,64";"2486,57";3545803
"Santa Branca";"2018";"1930,55";"1438,17";"2976,04";"1742,27";"1652,21";"1791,65";3546009
"Santa Clara d'Oeste";"2018";"2138,66";"1877,98";"2259,65";"-";"1683,01";"2378,94";3546108
"Santa Cruz da Conceição";"2018";"2300,55";"1970,09";"1970,6";"1699,85";"1875,72";"3191,56";3546207
"Santa Cruz da Esperança";"2018";"1928,01";"2047,25";"2594,28";"-";"1563,1";"1845,28";3546256
"Santa Cruz das Palmeiras";"2018";"2208,95";"2350,3";"1538,4";"1577,85";"1781,44";"2420,33";3546306
"Santa Cruz do Rio Pardo";"2018";"2362,41";"1666";"3153,13";"1916,63";"1967,79";"2544,42";3546405
"Santa Ernestina";"2018";"2461,18";"1051,58";"1687,6";"2463,59";"1860,42";"2792,97";3546504
"Santa Fé do Sul";"2018";"2001,42";"2152,8";"2053,27";"2311,6";"1733,65";"2095,43";3546603
"Santa Gertrudes";"2018";"3241,78";"1889";"3623,08";"1880,82";"1913,95";"2724,91";3546702
"Santa Isabel";"2018";"2325,88";"1505,49";"2861,22";"2269,98";"1811,38";"2374,41";3546801
"Santa Lúcia";"2018";"2077,61";"1677,49";"2540,55";"1986,41";"1685,27";"2236,96";3546900
"Santa Maria da Serra";"2018";"2168,46";"1415,9";"1954,37";"3119,7";"1606,36";"2856,25";3547007
"Santa Mercedes";"2018";"1908,46";"1766,35";"2164,55";"-";"1791,86";"1923,35";3547106
"Santa Rita d'Oeste";"2018";"1971,88";"1904,59";"1307,66";"1986,51";"1553,19";"2164,51";3547403
"Santa Rita do Passa Quatro";"2018";"1959,6";"1842,1";"2293,99";"2208,63";"1746,11";"1900,79";3547502
"Santa Rosa de Viterbo";"2018";"2423,9";"1586,14";"3814,1";"1961,79";"1668,82";"2067,97";3547601
"Santa Salete";"2018";"2192,74";"1533,23";"1418,67";"-";"1612,94";"2499,95";3547650
"Santana da Ponte Pensa";"2018";"2254,3";"1502,66";"1630,33";"-";"1142,26";"2507,63";3547205
"Santana de Parnaíba";"2018";"2981,13";"1967,39";"3340,87";"2611,41";"2637,72";"2945,36";3547304
"Santo Anastácio";"2018";"2186,1";"2435,27";"3046,2";"1374";"1669,37";"2196,66";3547700
"Santo André";"2018";"2867,35";"1495,3";"4286,44";"2514,32";"2268,81";"2841,05";3547809
"Santo Antônio da Alegria";"2018";"1666,25";"1602,65";"1473,19";"1554,94";"1431,46";"1861,64";3547908
"Santo Antônio de Posse";"2018";"2714,95";"2972,77";"3427,41";"2267,31";"2410,93";"2324,28";3548005
"Santo Antônio do Aracanguá";"2018";"2063,13";"2251,65";"1864,01";"1587,22";"1517,91";"2184,17";3548054
"Santo Antônio do Jardim";"2018";"1903,27";"1657,3";"1922,88";"1534,56";"1868,06";"2222,75";3548104
"Santo Antônio do Pinhal";"2018";"1823,86";"1555,86";"1904,03";"1599,73";"1472,44";"1974,14";3548203
"Santo Expedito";"2018";"1835,44";"1535,59";"5723,04";"1549,93";"1559,96";"1878,15";3548302
"Santópolis do Aguapeí";"2018";"1969,07";"2067,5";"2956,91";"1962,5";"1566,05";"2036,93";3548401
"Santos";"2018";"3347,58";"2176,37";"9224,44";"2808,52";"2352,58";"3229,13";3548500
"São Bento do Sapucaí";"2018";"1757,11";"1356,12";"2088,29";"1442,13";"1633,09";"1849,88";3548609
"São Bernardo do Campo";"2018";"3772,6";"1773,02";"5954,64";"2869,93";"2396,4";"3005,34";3548708
"São Caetano do Sul";"2018";"3178,81";"5012,33";"3203,47";"2817,06";"3169,12";"3232,64";3548807
"São Carlos";"2018";"3389,82";"1917,45";"3562,08";"2484,32";"2030,73";"4056,31";3548906
"São Francisco";"2018";"2236,82";"1412,95";"3600,91";"-";"1508,4";"2397,15";3549003
"São João da Boa Vista";"2018";"2444,74";"2205,06";"2809,85";"2004,93";"2020,96";"2606,62";3549102
"São João das Duas Pontes";"2018";"1979,76";"1435,2";"2394,25";"1654,06";"1902,56";"2111,49";3549201
"São João de Iracema";"2018";"2310,49";"1482,43";"-";"-";"1684,64";"2500,69";3549250
"São João do Pau d'Alho";"2018";"2414,46";"1694,22";"1479,13";"-";"1471,27";"2694,86";3549300
"São Joaquim da Barra";"2018";"3132,56";"2151,76";"3834,53";"1782,01";"2615,86";"2453,78";3549409
"São José da Bela Vista";"2018";"1855,41";"1703,36";"1854,19";"1537,33";"1505,12";"2038,77";3549508
"São José do Barreiro";"2018";"2234,3";"1300,55";"2467,89";"4896,22";"1346,62";"2848,7";3549607
"São José do Rio Pardo";"2018";"2209,58";"1543,43";"2745,33";"2342,83";"1921,65";"2198,92";3549706
"São José do Rio Preto";"2018";"2749,1";"3449,61";"2557,75";"2429,06";"2339,79";"3038,47";3549805
"São José dos Campos";"2018";"3651,66";"1503,97";"6762,36";"2282,5";"2204,41";"3248,22";3549904
"São Lourenço da Serra";"2018";"1464";"1429,03";"2294,63";"2888,37";"1697,49";"1388,89";3549953
"São Luiz do Paraitinga";"2018";"2316,59";"1614,3";"2538,21";"1544,85";"1700,35";"2764,24";3550001
"São Manuel";"2018";"2426,61";"1821,54";"3017,26";"2510,37";"1879,92";"2460,24";3550100
"São Miguel Arcanjo";"2018";"1921,89";"1662,18";"1599,7";"1595,18";"1600,97";"2500,14";3550209
"São Paulo";"2018";"4071,88";"5519,09";"4369,98";"3032,49";"3254,57";"4309,96";3550308
"São Pedro";"2018";"2186,35";"2163,75";"1988,03";"1928,13";"1860,32";"2478,17";3550407
"São Pedro do Turvo";"2018";"1970,9";"1516,15";"2461,49";"-";"1618,99";"2414,2";3550506
"São Roque";"2018";"2413,81";"1325,83";"2976,94";"2097,8";"2169,18";"2417,66";3550605
"São Sebastião";"2018";"3479,97";"1810,98";"2930,94";"4329,82";"2241,4";"3646,9";3550704
"São Sebastião da Grama";"2018";"1873,32";"1516,42";"1990,93";"1601,44";"1820,7";"2140,32";3550803
"São Simão";"2018";"2196,47";"2217,86";"2416,63";"1531,98";"1760,54";"2204,33";3550902
"São Vicente";"2018";"2627,79";"2033,32";"3432,75";"2563,66";"2053,92";"2902,89";3551009
"Sarapuí";"2018";"1849,22";"1542,77";"1741,57";"1457,94";"1558,85";"2354,58";3551108
"Sarutaiá";"2018";"1746,33";"1419,2";"1207,03";"3262,96";"1436,29";"2099,82";3551207
"Sebastianópolis do Sul";"2018";"2996,02";"1488,94";"3196,9";"1804,37";"1571,05";"2503,43";3551306
"Serra Azul";"2018";"2098,83";"1659,02";"2449,7";"1518,95";"1692,99";"2281,2";3551405
"Serra Negra";"2018";"1866,16";"1542,11";"1856,65";"1706,96";"1755,87";"1980,32";3551603
"Serrana";"2018";"2911,35";"3073,01";"3691,02";"2116,16";"2016,97";"2612,42";3551504
"Sertãozinho";"2018";"3105,21";"2813,17";"3615,75";"2541,27";"2362,28";"3014,51";3551702
"Sete Barras";"2018";"1760,61";"1410,63";"1846,58";"1791,31";"1480,98";"2466,09";3551801
"Severínia";"2018";"2374,86";"2281,79";"2976,81";"1530,44";"1839,11";"2388,66";3551900
"Silveiras";"2018";"1869,41";"1256,34";"2245,79";"2388,27";"1860,41";"2104,12";3552007
"Socorro";"2018";"1915,78";"1507,36";"1934,12";"1953,2";"1813,49";"1999,68";3552106
"Sorocaba";"2018";"3132,65";"1885,85";"4500,59";"2560,33";"2138";"2876,69";3552205
"Sud Mennucci";"2018";"2342,97";"1763,98";"3065,88";"1648,13";"1656,73";"2419,93";3552304
"Sumaré";"2018";"3808,48";"1640,58";"5726,64";"1968,99";"2507,97";"3115,1";3552403
"Suzanápolis";"2018";"2983,65";"2069,33";"3379,64";"2800";"1403,54";"2465,02";3552551
"Suzano";"2018";"2876,83";"1567,12";"4210,79";"2189,81";"1951,95";"2527,8";3552502
"Tabapuã";"2018";"2052,68";"1566,38";"1867,81";"1502,48";"1752,45";"2454,8";3552601
"Tabatinga";"2018";"1541,9";"930,16";"1539,11";"1311,6";"1602,71";"2290,56";3552700
"Taboão da Serra";"2018";"2599,28";"1127,85";"3622,4";"1991,25";"2027,17";"2537,48";3552809
"Taciba";"2018";"2690,19";"1729,2";"8843,67";"1649,75";"1529,57";"2593,06";3552908
"Taguaí";"2018";"1433,05";"1467,34";"1254,18";"1097,88";"1540,3";"2007,38";3553005
"Taiaçu";"2018";"1930,49";"1613,26";"1313,97";"1108,38";"1758,91";"2226,78";3553104
"Taiúva";"2018";"1993,81";"1769,13";"2608,61";"1215";"1702,99";"2143,95";3553203
"Tambaú";"2018";"2122,97";"1586,79";"2464,14";"1809,28";"1796,84";"2218,68";3553302
"Tanabi";"2018";"2475,25";"1627,77";"2431,16";"1580,23";"1823,42";"3141,33";3553401
"Tapiraí";"2018";"2028,79";"1563,9";"2450,46";"1703,71";"1615,09";"2169,05";3553500
"Tapiratiba";"2018";"2231,18";"2226,93";"2266,44";"1542,14";"1628,2";"2541,09";3553609
"Taquaral";"2018";"1760,34";"1702,39";"1994,57";"-";"1578,78";"1835,09";3553658
"Taquaritinga";"2018";"2191,41";"1646,42";"2385,34";"2874,89";"1942,64";"2288,97";3553708
"Taquarituba";"2018";"2105,4";"1854,48";"1773,6";"2337,36";"1858,58";"2490,17";3553807
"Taquarivaí";"2018";"2071,77";"2096,97";"2384,32";"1591,07";"1697,42";"2171,8";3553856
"Tarabai";"2018";"1915,62";"1967,45";"1990,4";"1411,44";"1705,47";"1969,56";3553906
"Tarumã";"2018";"2614,43";"3041,34";"2755,78";"2246,82";"1942,83";"2137,32";3553955
"Tatuí";"2018";"2533,73";"1789,12";"3007,74";"2491,9";"2026,86";"2635,22";3554003
"Taubaté";"2018";"3015,18";"1395,93";"5008,27";"2339,03";"1988,29";"2551,99";3554102
"Tejupá";"2018";"1560,24";"1285,43";"1260,03";"1636,96";"1526,39";"2156,62";3554201
"Teodoro Sampaio";"2018";"2130,11";"2513,04";"2500,13";"1285,9";"1700,45";"2099,24";3554300
"Terra Roxa";"2018";"1909,81";"1698,28";"1957,9";"1961,66";"1597,42";"2106,2";3554409
"Tietê";"2018";"2566,75";"1921,98";"2455,95";"3006,67";"2078,84";"3131,11";3554508
"Timburi";"2018";"2000,82";"1471,49";"1498,24";"1440,87";"1485,86";"2486,39";3554607
"Torre de Pedra";"2018";"2172,45";"1724,48";"3409,23";"-";"1401,9";"2341,48";3554656
"Torrinha";"2018";"1910,27";"1673,83";"1867,41";"1644,53";"1496,7";"2237,67";3554706
"Trabiju";"2018";"2251,71";"1538,31";"1995,6";"-";"1484,45";"2996,64";3554755
"Tremembé";"2018";"2441,96";"1453,67";"2890,72";"2172,19";"1730,65";"2684,24";3554805
"Três Fronteiras";"2018";"2120,04";"1520,62";"1928,93";"1912,32";"1807,43";"2522,63";3554904
"Tuiuti";"2018";"2086,32";"1327,77";"1739,33";"-";"1716,5";"2471,2";3554953
"Tupã";"2018";"2082,86";"1738,57";"2166,16";"1831,07";"1817,79";"2267,52";3555000
"Tupi Paulista";"2018";"1941,59";"1586,74";"1856,18";"1602,77";"1627,46";"2263,25";3555109
"Turiúba";"2018";"2014,37";"1650,96";"2635,83";"1768,25";"1532,8";"2188,36";3555208
"Turmalina";"2018";"2243,82";"2047,83";"5433,94";"1108,38";"1361,55";"2415,08";3555307
"Ubarana";"2018";"2684,25";"2136,29";"2992,3";"1511,84";"1597,48";"2362,74";3555356
"Ubatuba";"2018";"2150,69";"1514,23";"2653,58";"1873,32";"1758,22";"2322,52";3555406
"Ubirajara";"2018";"1922,44";"1518,28";"1852,9";"1478,27";"1601,2";"2643,29";3555505
"Uchoa";"2018";"2233,7";"1676,28";"2595,96";"1779,78";"1747,16";"2499,89";3555604
"União Paulista";"2018";"1942,48";"2013,52";"1203,53";"954";"1085,57";"2119,87";3555703
"Urânia";"2018";"2159,76";"1604,21";"2693,61";"-";"1545,95";"2198,28";3555802
"Uru";"2018";"1947,62";"1495,81";"3129,34";"-";"1631,85";"2059,78";3555901
"Urupês";"2018";"2111,3";"1667,89";"1503,72";"2201,65";"1940,53";"2948,61";3556008
"Valentim Gentil";"2018";"1896,52";"1819,47";"1765,11";"1890,71";"1778,16";"2367,85";3556107
"Valinhos";"2018";"3261,18";"1816,13";"4176,97";"2614,97";"2482,56";"3136,17";3556206
"Valparaíso";"2018";"2940,71";"2010,56";"3584";"2033,31";"1662,92";"2486,91";3556305
"Vargem";"2018";"2050,13";"1445,31";"2576,3";"1641,55";"1620,11";"2180,76";3556354
"Vargem Grande do Sul";"2018";"2226,76";"2105,86";"2531,72";"1653,48";"1836,27";"2426,85";3556404
"Vargem Grande Paulista";"2018";"3100,11";"1540,69";"3824,93";"2485,48";"2352,62";"3116,32";3556453
"Várzea Paulista";"2018";"3120,14";"2198,42";"3514,49";"2181,8";"2076,11";"3198,72";3556503
"Vera Cruz";"2018";"2039,12";"1639,57";"1841,19";"1426,37";"2047,54";"2272,98";3556602
"Vinhedo";"2018";"3325,16";"1839,78";"3730,94";"2789,5";"3003,38";"2986,15";3556701
"Viradouro";"2018";"1822,62";"1862,77";"1785,69";"1376,68";"1655,29";"1930,8";3556800
"Vista Alegre do Alto";"2018";"3009,59";"1724,52";"3530,36";"-";"1825,01";"3278,11";3556909
"Vitória Brasil";"2018";"2320,34";"1469,84";"2750";"-";"1780,86";"2543,16";3556958
"Votorantim";"2018";"2751,97";"1354,67";"3265,14";"2243,49";"2201";"2893,69";3557006
"Votuporanga";"2018";"2244,17";"1880,71";"2235,8";"1678,66";"2158,72";"2373,97";3557105
"Zacarias";"2018";"2254,98";"1921,26";"2379,52";"-";"1328,75";"2501,58";3557154
