"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Brodowski";"2018";"2025,23";"1533,05";"1974,49";"1904,02";"1893,21";"2250,79";3507803
"Brotas";"2018";"2493,6";"2100,63";"2994,51";"2052,05";"1784,4";"2758,77";3507902
"Buri";"2018";"1741,64";"1591,63";"1955,5";"1385,82";"1593,8";"2010,16";3508009
"Buritama";"2018";"2416,48";"1713,49";"2902,21";"2321,68";"1634,79";"2591,93";3508108
"Buritizal";"2018";"3182,25";"1773,79";"3518,78";"1440,87";"1657,31";"3199,24";3508207
"Cabrália Paulista";"2018";"2033,77";"1805,8";"1681,8";"958,92";"1515,01";"2710,27";3508306
"Cabreúva";"2018";"3067,05";"2031,15";"3530,32";"1918,03";"2573,13";"2752,16";3508405
"Cachoeira Paulista";"2018";"2165,42";"1361,32";"2986,19";"2156,3";"1688,19";"2255,13";3508603
"Caconde";"2018";"1817,08";"1311,62";"1570,57";"1643,06";"1920,12";"1997,68";3508702
"Cafelândia";"2018";"2033,05";"1686,88";"1938,43";"1904,95";"1753,78";"2440,39";3508801
"Caiabu";"2018";"2006,56";"1695,84";"2048,14";"1694,79";"1928,72";"2051,82";3508900
"Caieiras";"2018";"2752,45";"3172,52";"3222,24";"3080,77";"2095,39";"2703,61";3509007
"Caiuá";"2018";"2026,59";"1865,71";"1456,74";"1402,77";"1474,37";"2163,87";3509106
"Cajamar";"2018";"3321,56";"1731,68";"4728,51";"2535,57";"3008,66";"2526,9";3509205
"Cajati";"2018";"2486,31";"1335,5";"4068,94";"1949,56";"1705,02";"2442,56";3509254
"Cajobi";"2018";"1897,63";"2169,93";"1781,4";"1716,04";"1692,18";"1871,46";3509304
