"Localidades";"Períodos";"Taxa de Mortalidade Infantil (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Precoce (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Pós Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Tardia (Por mil nascidos vivos)";"Cód. IBGE"
"Sete Barras";"2018";"13,89";"9,26";"9,26";"4,63";"-";3551801
"Severínia";"2018";"18,43";"9,22";"13,82";"4,61";"4,61";3551900
"Silveiras";"2018";"13,89";"-";"-";"13,89";"-";3552007
"Socorro";"2018";"17,68";"10,1";"15,15";"2,53";"5,05";3552106
"Sorocaba";"2018";"10,3";"4,99";"7,75";"2,55";"2,76";3552205
"Sud Mennucci";"2018";"8,55";"8,55";"8,55";"-";"-";3552304
"Sumaré";"2018";"9,07";"3,89";"6,48";"2,59";"2,59";3552403
"Suzanápolis";"2018";"-";"-";"-";"-";"-";3552551
"Suzano";"2018";"11,99";"6,76";"8,28";"3,71";"1,53";3552502
"Tabapuã";"2018";"37,38";"9,35";"9,35";"28,04";"-";3552601
"Tabatinga";"2018";"30,3";"20,2";"20,2";"10,1";"-";3552700
"Taboão da Serra";"2018";"11,44";"6,54";"9,11";"2,33";"2,57";3552809
"Taciba";"2018";"-";"-";"-";"-";"-";3552908
"Taguaí";"2018";"5,35";"5,35";"5,35";"-";"-";3553005
"Taiaçu";"2018";"-";"-";"-";"-";"-";3553104
"Taiúva";"2018";"-";"-";"-";"-";"-";3553203
"Tambaú";"2018";"14,76";"11,07";"11,07";"3,69";"-";3553302
"Tanabi";"2018";"12,05";"-";"6,02";"6,02";"6,02";3553401
"Tapiraí";"2018";"24,79";"16,53";"16,53";"8,26";"-";3553500
"Tapiratiba";"2018";"-";"-";"-";"-";"-";3553609
"Taquaral";"2018";"-";"-";"-";"-";"-";3553658
"Taquaritinga";"2018";"6,51";"6,51";"6,51";"-";"-";3553708
"Taquarituba";"2018";"12,27";"12,27";"12,27";"-";"-";3553807
"Taquarivaí";"2018";"8";"-";"8";"-";"8";3553856
"Tarabai";"2018";"10,64";"10,64";"10,64";"-";"-";3553906
"Tarumã";"2018";"4,69";"4,69";"4,69";"-";"-";3553955
"Tatuí";"2018";"14,69";"7,64";"11,16";"3,53";"3,53";3554003
"Taubaté";"2018";"10,13";"7,17";"7,66";"2,47";"0,49";3554102
"Tejupá";"2018";"15,15";"15,15";"15,15";"-";"-";3554201
"Teodoro Sampaio";"2018";"15,06";"6,02";"9,04";"6,02";"3,01";3554300
"Terra Roxa";"2018";"-";"-";"-";"-";"-";3554409
"Tietê";"2018";"15,72";"7,86";"9,82";"5,89";"1,96";3554508
"Timburi";"2018";"43,48";"43,48";"43,48";"-";"-";3554607
"Torre de Pedra";"2018";"-";"-";"-";"-";"-";3554656
"Torrinha";"2018";"8,7";"-";"-";"8,7";"-";3554706
"Trabiju";"2018";"-";"-";"-";"-";"-";3554755
"Tremembé";"2018";"5,67";"1,89";"3,78";"1,89";"1,89";3554805
"Três Fronteiras";"2018";"15,87";"15,87";"15,87";"-";"-";3554904
"Tuiuti";"2018";"-";"-";"-";"-";"-";3554953
"Tupã";"2018";"6,53";"3,92";"5,22";"1,31";"1,31";3555000
"Tupi Paulista";"2018";"16,81";"-";"16,81";"-";"16,81";3555109
"Turiúba";"2018";"-";"-";"-";"-";"-";3555208
"Turmalina";"2018";"-";"-";"-";"-";"-";3555307
"Ubarana";"2018";"12,82";"-";"-";"12,82";"-";3555356
"Ubatuba";"2018";"9,29";"6,43";"7,15";"2,14";"0,71";3555406
"Ubirajara";"2018";"10,2";"10,2";"10,2";"-";"-";3555505
"Uchoa";"2018";"10,64";"-";"-";"10,64";"-";3555604
"União Paulista";"2018";"-";"-";"-";"-";"-";3555703
"Urânia";"2018";"-";"-";"-";"-";"-";3555802
"Uru";"2018";"-";"-";"-";"-";"-";3555901
"Urupês";"2018";"14,93";"-";"-";"14,93";"-";3556008
"Valentim Gentil";"2018";"5,62";"5,62";"5,62";"-";"-";3556107
"Valinhos";"2018";"6,27";"2,09";"4,88";"1,39";"2,79";3556206
"Valparaíso";"2018";"13,42";"10,07";"10,07";"3,36";"-";3556305
"Vargem";"2018";"-";"-";"-";"-";"-";3556354
"Vargem Grande do Sul";"2018";"3,54";"1,77";"1,77";"1,77";"-";3556404
"Vargem Grande Paulista";"2018";"3,99";"3,99";"3,99";"-";"-";3556453
"Várzea Paulista";"2018";"17,99";"6,47";"10,79";"7,19";"4,32";3556503
"Vera Cruz";"2018";"-";"-";"-";"-";"-";3556602
"Vinhedo";"2018";"7,73";"4,42";"4,42";"3,31";"-";3556701
"Viradouro";"2018";"21,28";"8,51";"21,28";"-";"12,77";3556800
"Vista Alegre do Alto";"2018";"-";"-";"-";"-";"-";3556909
"Vitória Brasil";"2018";"-";"-";"-";"-";"-";3556958
"Votorantim";"2018";"15";"7,2";"8,4";"6,6";"1,2";3557006
"Votuporanga";"2018";"7,13";"4,46";"4,46";"2,67";"-";3557105
"Zacarias";"2018";"38,46";"-";"-";"38,46";"-";3557154
