"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Mairinque";"2019";"139757";"77484";"8052";"1552";"43471";"9199";3528403
"Mairiporã";"2019";"472402";"40800";"32896";"1677";"87229";"309800";3528502
"Manduri";"2019";"17648";"1181";"2440";"5129";"6136";"2761";3528601
"Marabá Paulista";"2019";"6220";"160";"459";"2499";"1657";"1445";3528700
"Maracaí";"2019";"24406";"2560";"3969";"5235";"9631";"3010";3528809
"Marapoama";"2019";"10261";"2519";"879";"2695";"3075";"1093";3528858
"Mariápolis";"2019";"4707";"49";"477";"852";"2470";"859";3528908
"Marília";"2019";"577462";"120524";"131350";"7655";"227637";"90298";3529005
"Marinópolis";"2019";"3932";"15";"488";"1537";"1461";"431";3529104
"Martinópolis";"2019";"41965";"2075";"7312";"5789";"19086";"7703";3529203
"Matão";"2019";"418544";"260536";"38189";"20002";"73112";"26706";3529302
"Mauá";"2019";"1209844";"681094";"159159";"33";"324695";"44863";3529401
"Mendonça";"2019";"12417";"3351";"1874";"315";"4947";"1930";3529500
"Meridiano";"2019";"9961";"161";"2869";"2317";"3170";"1444";3529609
"Mesópolis";"2019";"3528";"4";"335";"1313";"1316";"560";3529658
"Miguelópolis";"2019";"50250";"185";"5472";"21433";"18854";"4306";3529708
"Mineiros do Tietê";"2019";"18460";"1645";"2407";"1285";"9693";"3429";3529807
"Mira Estrela";"2019";"7693";"226";"935";"2418";"3035";"1079";3530003
"Miracatu";"2019";"30524";"1383";"10531";"2805";"12405";"3400";3529906
"Mirandópolis";"2019";"49236";"2788";"8706";"6733";"21561";"9449";3530102
"Mirante do Paranapanema";"2019";"24454";"133";"4553";"8444";"8209";"3116";3530201
