"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Cachoeira Paulista";"2018";"576811,94";"128815,76";"62165,84";"502016,7";"12629,41";"31679,67";"22,33";"10,78";"87,03";"2,19";3508603
"Caconde";"2018";"348579,05";"70845,57";"34290,06";"220358,86";"93930,13";"8763,08";"20,32";"9,84";"63,22";"26,95";3508702
"Cafelândia";"2018";"463244,42";"76562,21";"96274,71";"275201,44";"91768,27";"41788,43";"16,53";"20,78";"59,41";"19,81";3508801
"Caiabu";"2018";"56618,42";"19597,13";"3730,3";"38743,29";"14144,83";"1595,94";"34,61";"6,59";"68,43";"24,98";3508900
"Caieiras";"2018";"3050503,57";"376674,52";"1207823,65";"1840879,23";"1800,69";"505808,72";"12,35";"39,59";"60,35";"0,06";3509007
"Caiuá";"2018";"72186,95";"28168,71";"2989,63";"48183,83";"21013,5";"3423,56";"39,02";"4,14";"66,75";"29,11";3509106
"Cajamar";"2018";"12989252,9";"396704,75";"2092852,01";"10896022,85";"378,05";"3980858,05";"3,05";"16,11";"83,88";"0";3509205
"Cajati";"2018";"1264621,63";"120891,78";"565118,25";"513731,02";"185772,37";"187853,86";"9,56";"44,69";"40,62";"14,69";3509254
"Cajobi";"2018";"147894,04";"42093,73";"7723,82";"114650,81";"25519,41";"8071,81";"28,46";"5,22";"77,52";"17,26";3509304
"Cajuru";"2018";"511305,21";"100809,23";"112577,69";"334074,88";"64652,64";"60860,28";"19,72";"22,02";"65,34";"12,64";3509403
"Campina do Monte Alegre";"2018";"103649,79";"28708,09";"12688,54";"71952,52";"19008,73";"5001,26";"27,7";"12,24";"69,42";"18,34";3509452
"Campinas";"2018";"50655492";"4599177,79";"9362866,23";"41197147,4";"95478,38";"10741770,53";"9,08";"18,48";"81,33";"0,19";3509502
"Campo Limpo Paulista";"2018";"1841113,14";"311230,8";"613184,95";"1221625,49";"6302,69";"269935,18";"16,9";"33,31";"66,35";"0,34";3509601
"Campos do Jordão";"2018";"1172939,77";"218072,97";"122893,1";"1046305,75";"3740,92";"74935,7";"18,59";"10,48";"89,2";"0,32";3509700
"Campos Novos Paulista";"2018";"135893,5";"24304,51";"8837,94";"72764,09";"54291,47";"5884,52";"17,88";"6,5";"53,54";"39,95";3509809
"Cananéia";"2018";"290538,77";"60438,86";"77892,85";"183002,24";"29643,68";"10118,14";"20,8";"26,81";"62,99";"10,2";3509908
"Canas";"2018";"93909,43";"24489,47";"15298";"76111,4";"2500,03";"10670,13";"26,08";"16,29";"81,05";"2,66";3509957
"Cândido Mota";"2018";"1014322,77";"118194,24";"186523,99";"737686,71";"90112,07";"152150,86";"11,65";"18,39";"72,73";"8,88";3510005
"Cândido Rodrigues";"2018";"94553,68";"15550,84";"10997,18";"51227,01";"32329,49";"5547,1";"16,45";"11,63";"54,18";"34,19";3510104
"Canitar";"2018";"171255,05";"24274,91";"89774,09";"74738,22";"6742,74";"17413,16";"14,17";"52,42";"43,64";"3,94";3510153
"Capão Bonito";"2018";"855702,53";"187989,7";"89200,04";"619592,54";"146909,95";"50760,29";"21,97";"10,42";"72,41";"17,17";3510203
"Capela do Alto";"2018";"255613,42";"82429,56";"25599,85";"201919,52";"28094,05";"16857,93";"32,25";"10,02";"78,99";"10,99";3510302
"Capivari";"2018";"1786183,55";"240324,26";"676712,76";"1056863,42";"52607,36";"273520,49";"13,45";"37,89";"59,17";"2,95";3510401
"Caraguatatuba";"2018";"3098162,76";"597273,94";"453271,94";"2631700,47";"13190,35";"227757,3";"19,28";"14,63";"84,94";"0,43";3510500
"Carapicuíba";"2018";"5245954,99";"1103518,94";"800616,23";"4445110,87";"227,9";"499356,03";"21,04";"15,26";"84,73";"0";3510609
"Cardoso";"2018";"245635,79";"52461,24";"14163,14";"171203,51";"60269,14";"9903,49";"21,36";"5,77";"69,7";"24,54";3510708
"Casa Branca";"2018";"767787,77";"127987,26";"63987,67";"526474,66";"177325,44";"63380,19";"16,67";"8,33";"68,57";"23,1";3510807
"Cássia dos Coqueiros";"2018";"147482,51";"16794,97";"5883,63";"43079,53";"98519,35";"1432,8";"11,39";"3,99";"29,21";"66,8";3510906
